Configuration,Term,J,Prefix,Level (cm-1),Suffix,Uncertainty (cm-1),Lande,Reference
5d10,1S,0,,0.00,,0,,L11702
5d9.6s,3D,3,,15039.572,,,,L11702
5d9.6s,3D,2,,17640.616,,,,L11702
5d9.6s,3D,1,,27765.758,,,,L11702
5d9.6s,1D,2,,29621.249,,,1.04,L11702
5d8.6s2,3F,4,,40478.750,,,1.13,L11702
5d8.6s2,3F,3,,52176.508,,,1.15,L11702
5d8.6s2,,2,,48510.894,,,1.02,L11702
5d8.6s2,,2,,58191.630,,,1.08,L11702
5d8.6s2,3P,0,,58550.226,,,,L11702
5d8.6s2,3P,1,,61749.419,,,,L11702
5d9.6p,"(5/2,1/2)*",2,,63053.318,,,1.45,L11702
5d9.6p,"(5/2,1/2)*",3,,65003.594,,,1.04,L11702
5d9.6p,"(5/2,3/2)*",4,,72495.129,,,1.15,L11702
5d9.6p,"(5/2,3/2)*",2,,73178.291,,,1.12,L11702
5d9.6p,"(5/2,3/2)*",3,,74791.477,,,1.30,L11702
5d9.6p,"(5/2,3/2)*",1,,81659.828,,,,L11702
5d9.6p,"(3/2,1/2)*",1,,73403.839,,,1.04,L11702
5d9.6p,"(3/2,1/2)*",2,,76659.700,,,1.38,L11702
5d9.6p,"(3/2,3/2)*",0,,82613.781,,,,L11702
5d9.6p,"(3/2,3/2)*",3,,85700.201,,,,L11702
5d9.6p,"(3/2,3/2)*",1,,85707.570,,,1.11,L11702
5d9.6p,"(3/2,3/2)*",2,,86565.667,,,1.29,L11702
5d9.7s,"(5/2,1/2)",3,,108172.952,,,1.20,L11702
5d9.7s,"(5/2,1/2)",2,,108631.442,,,0.95,L11702
5d9.6d,"(5/2,3/2)",1,,116050.55,,,,L11702
5d9.6d,"(5/2,3/2)",4,,116946.327,,,,L11702
5d9.6d,"(5/2,3/2)",2,,117065.629,,,,L11702
5d9.6d,"(5/2,3/2)",3,,117511.998,,,,L11702
5d9.7p,"(5/2,1/2)*",2,,119446.50,,,,L11702
5d9.7p,"(5/2,1/2)*",3,,120257.120,,,,L11702
5d9.7s,"(3/2,1/2)",1,,120822.927,,,,L11702
5d9.7s,"(3/2,1/2)",2,,121118.779,,,,L11702
5d9.7p,"(5/2,3/2)*",2,,121784.2,,,,L3466
5d9.7p,"(5/2,3/2)*",1,,121862.0,,,,L3466
5d9.7p,"(5/2,3/2)*",4,,123061.8,,,,L3466
5d9.7p,"(5/2,3/2)*",3,,123343.8,,,1.03,L3466
Au III (5d9 2D<5/2>),Limit,---,,162950,,200,,L11702
