,,,,,,
,Configuration,Term,J,"Level 
 (cm-1)","Uncertainty 
 (cm-1)",Reference
,,,,,,
,3p64s,2S,1/2,0.00,0,L7185
,,,,,,
,3p63d,2D,3/2,13 650.19,,
,,,5/2,13 710.88,,
,,,,,,
,3p64p,2P°,1/2,25 191.51,,
,,,3/2,25 414.40,,
,,,,,,
,3p65s,2S,1/2,52 166.93,,
,,,,,,
,3p64d,2D,3/2,56 839.25,,
,,,5/2,56 858.46,,
,,,,,,
,3p65p,2P°,1/2,60 533.02,,
,,,3/2,60 611.28,,
,,,,,,
,3p64f,2F°,5/2,68 056.91,,
,,,7/2,68 056.91,,
,,,,,,
,3p66s,2S,1/2,70 677.62,,
,,,,,,
,3p65d,2D,3/2,72 722.23,,
,,,5/2,72 730.93,,
,,,,,,
,3p66p,2P°,1/2,74 484.92,,
,,,3/2,74 521.75,,
,,,,,,
,3p65f,2F°,5/2,78 034.39,,
,,,7/2,78 034.39,,
,,,,,,
,3p65g,2G,7/2,78 164.72,,
,,,9/2,78 164.72,,
,,,,,,
,3p67s,2S,1/2,79 448.28,,
,,,,,,
,3p66d,2D,3/2,80 521.53,,
,,,5/2,80 526.16,,
,,,,,,
,3p66f,2F°,5/2,83 458.08,,
,,,7/2,83 458.08,,
,,,,,,
,3p66g,2G,7/2,83 540.00,,
,,,9/2,83 540.00,,
,,,,,,
,3p68s,2S,1/2,84 300.89,,
,,,,,,
,3p67d,2D,3/2,84 933.65,,
,,,5/2,84 936.41,,
,,,,,,
,3p67f,2F°,5/2,86 727.06,,
,,,7/2,86 727.06,,
,,,,,,
,3p67g,2G,7/2,86 781.14,,
,,,9/2,86 781.14,,
,,,,,,
,3p69s,2S,1/2,87 267.86,,
,,,,,,
,3p68d,2D,3/2,87 671.93,,
,,,5/2,87 673.72,,
,,,,,,
,3p68f,2F°,5/2,88 847.31,,
,,,7/2,88 847.31,,
,,,,,,
,3p68g,2G,7/2,88 884.54,,
,,,9/2,88 884.54,,
,,,,,,
,3p68h,2H°,9/2,88 890.64,,
,,,11/2,88 890.64,,
,,,,,,
,3p610s,2S,1/2,89 214.13,,
,,,,,,
,3p69d,2D,3/2,89 487.93,,
,,,5/2,89 489.13,,
,,,,,,
,3p69f,2F°,5/2,90 300.0,,
,,,7/2,90 300.0,,
,,,,,,
,3p69g,2G,7/2,90 326.45,,
,,,9/2,90 326.45,,
,,,,,,
,3p610d,2D,3/2,90 753.92,,
,,,5/2,90 754.80,,
,,,,,,
,3p610f,2F°,7/2,91 338.0,,
,,,5/2,91 338.0,,
,,,,,,
,3p610h,2H°,9/2,91 361.00,,
,,,11/2,91 361.00,,
,,,,,,
,3p611d,2D,3/2,91 672.0,,
,,,5/2,91 672.0,,
,,,,,,
,3p612d,2D,3/2,92 359.0,,
,,,5/2,92 359.0,,
,,,,,,
,3p613d,2D,3/2,92 883.0,,
,,,5/2,92 883.0,,
,,,,,,
,3p614d,2D,3/2,93 297.6,,
,,,5/2,93 297.6,,
,,,,,,
,3p615d,2D,3/2,93 626.9,,
,,,5/2,93 626.9,,
,,,,,,
,3p616d,2D,3/2,93 894.5,,
,,,5/2,93 894.5,,
,,,,,,
,Ca III (3p6 1S0),Limit,---,95 751.87,0.03,"L7185,L7323"
,,,,,,
,3p54s2,2P°,3/2,227 444,,
,,,1/2,230 224,,
