Configuration,Term,J,"Level 
 (cm-1)","Uncertainty 
 (cm-1)",Leading percentages,,,,,,,Reference
,,,,,,,,,,,,
3d6,5D,4,0.0,0,100,,,,,,,L7185
,,3,639.1,,100,,,,,,,
,,2,1 077.7,,100,,,,,,,
,,1,1 357.3,,100,,,,,,,
,,0,1 493.6,,100,,,,,,,
,,,,,,,,,,,,
3d6,3P2,2,22 883.3,,62,,,,38,3d6,3P1,
,,1,24 729.2,,62,,,,37,3d6,3P1,
,,0,25 448.7,,62,,,,37,3d6,3P1,
,,,,,,,,,,,,
3d6,3H,6,23 679.5,,100,,,,,,,
,,5,24 031.8,,98,,,,2,3d6,3G,
,,4,24 272.0,,93,,,,3,3d6,3G,
,,,,,,,,,,,,
3d6,3F2,4,25 396.0,,71,,,,21,3d6,3F1,
,,3,25 735.9,,76,,,,21,3d6,3F1,
,,2,25 969.0,,79,,,,20,3d6,3F1,
,,,,,,,,,,,,
3d6,3G,5,29 021.8,,98,,,,2,3d6,3H,
,,4,29 592.2,,95,,,,3,3d6,3F2,
,,3,29 867.5,,97,,,,3,3d6,3F2,
,,,,,,,,,,,,
3d6,1I,6,35 942.7,,100,,,,,,,
,,,,,,,,,,,,
3d6,3D,2,36 348.0,,98,,,,1,3d6,1D2,
,,1,36 382.0,,100,,,,,,,
,,3,36 554.5,,100,,,,,,,
,,,,,,,,,,,,
3d6,1G2,4,36 683.3,,65,,,,33,3d6,1G1,
,,,,,,,,,,,,
3d6,1S2,0,41 441.9,,76,,,,23,3d6,1S1,
,,,,,,,,,,,,
3d6,1D2,2,42 341.8,,76,,,,22,3d6,1D1,
,,,,,,,,,,,,
3d6,1F,3,50 630.1,,99,,,,1,3d6,3F1,
,,,,,,,,,,,,
3d6,3P1,0,58 320.6,,63,,,,37,3d6,3P2,
,,1,58 919.8,,63,,,,37,3d6,3P2,
,,2,60 098.4,,62,,,,38,3d6,3P2,
,,,,,,,,,,,,
3d6,3F1,2,59 748.8,,80,,,,20,3d6,3F2,
,,4,59 838.2,,77,,,,22,3d6,3F2,
,,3,59 902.8,,78,,,,21,3d6,3F2,
,,,,,,,,,,,,
3d6,1G1,4,67 907.0,,66,,,,34,3d6,1G2,
,,,,,,,,,,,,
3d5(6S)4s,7S,3,90 554.4,,100,,,,,,,
,,,,,,,,,,,,
3d6,1D1,2,91 218.4,,78,,,,22,3d6,1D2,
,,,,,,,,,,,,
3d5(6S)4s,5S,2,102 773.9,,100,,,,,,,
,,,,,,,,,,,,
3d5(4G)4s,5G,6,129 134.0,,100,,,,,,,
,,5,129 195.2,,100,,,,,,,
,,2,129 222.2,,100,,,,,,,
,,4,129 223.7,,100,,,,,,,
,,3,129 228.7,,100,,,,,,,
,,,,,,,,,,,,
3d5(4P)4s,5P,3,132 729.1,,93,,,,6,3d5(4D)4s,5D,
,,2,132 828.7,,94,,,,6,3d5(4D)4s,5D,
,,1,132 952.6,,97,,,,3,3d5(4D)4s,5D,
,,,,,,,,,,,,
3d5(4D)4s,5D,4,136 362.9,,99,,,,,,,
,,0,136 442.7,,99,,,,1,3d5(4P)4s,3P,L10859
,,1,136 519.1,,96,,,,3,3d5(4P)4s,5P,
,,2,136 611.2,,93,,,,6,3d5(4P)4s,5P,
,,3,136 612.5,,93,,,,6,3d5(4P)4s,5P,
,,,,,,,,,,,,
3d5(4G)4s,3G,5,137 280.9,,100,,,,,,,
,,3,137 325.6,,99,,,,,,,
,,4,137 336.4,,100,,,,,,,
,,,,,,,,,,,,
3d5(4P)4s,3P,2,140 863.5,,92,,,,7,3d5(4D)4s,3D,
,,1,141 076.0,,95,,,,4,3d5(4D)4s,3D,
,,,,,,,,,,,,
3d5(4D)4s,3D,3,144 509.6,,99,,,,,,,
,,1,144 720.3,,96,,,,4,3d5(4P)4s,3P,
,,2,144 764.2,,93,,,,7,3d5(4P)4s,3P,
,,,,,,,,,,,,
3d5(2I)4s,3I,6,148 098.1,,99,,,,1,3d5(2H)4s,3H,
,,5,148 105.5,,99,,,,1,3d5(2H)4s,3H,
,,7,148 106.0,,100,,,,,,,
,,,,,,,,,,,,
3d5(2D3)4s,3D,3,150 970.9,,57,,,,18,3d5(2F1)4s,3F,
,,2,151 040.6,,52,,,,16,3d5(2D1)4s,3D,
,,,,,,,,,,,,
3d5(2I)4s,1I,6,152 113.3,,99,,,,1,3d5(2H)4s,3H,
,,,,,,,,,,,,
3d5(4F)4s,5F,5,152 126.2,,98,,,,1,3d5(2G2)4s,3G,
,,4,152 161.1,,95,,,,3,3d5(2F1)4s,3F,
,,3,152 264.2,,90,,,,7,3d5(2F1)4s,3F,
,,2,152 396.4,,74,,,,19,3d5(2F1)4s,3F,L10859
,,,,,,,,,,,,
3d5(2F1)4s,3F,4,153 265.3,,94,,,,4,3d5(4F)4s,5F,
,,2,153 524.9,,48,,,,20,3d5(2D3)4s,3D,
,,3,154 012.2,,73,,,,15,3d5(2D3)4s,3D,
,,,,,,,,,,,,
3d5(6S)4p,7P°,2,155 743.6,,99,,,,1,3d5(6S)4p,5P°,
,,3,156 272.8,,99,,,,1,3d5(6S)4p,5P°,
,,4,157 123.7,,100,,,,,,,
,,,,,,,,,,,,
