Configuration,Term,J,"Level 
 (cm-1)","Uncertainty 
 (cm-1)",Landé-g,Leading percentages,,,,,,,Reference
,,,,,,,,,,,,,
3d5,a 6S,5/2,0.0000,0.0007,,,,,,,,,L18847
,,,,,,,,,,,,,
3d4(5D)4s,a 6D,1/2,11 961.7464,0.0005,3.323,,,,,,,,"L18847,L7185"
,,3/2,12 032.5447,0.0005,1.867,,,,,,,,"L18847,L7185"
,,5/2,12 147.7713,0.0005,1.669,,,,,,,,"L18847,L7185"
,,7/2,12 303.8200,0.0005,1.578,,,,,,,,"L18847,L7185"
,,9/2,12 496.4565,0.0005,1.554,,,,,,,,"L18847,L7185"
,,,,,,,,,,,,,
3d4(5D)4s,a 4D,1/2,19 528.2293,0.0005,0.000,,,,,,,,"L18847,L7185"
,,3/2,19 631.2058,0.0005,1.192,,,,,,,,"L18847,L7185"
,,5/2,19 797.8594,0.0005,1.370,,,,,,,,"L18847,L7185"
,,7/2,20 024.0117,0.0005,1.427,,,,,,,,"L18847,L7185"
,,,,,,,,,,,,,
3d5,a 4G,5/2,20 512.0630,0.0005,0.599,,,,,,,,"L18847,L7185"
,,11/2,20 512.0959,0.0007,1.278,,,,,,,,"L18847,L7185"
,,7/2,20 517.7920,0.0005,0.994,,,,,,,,"L18847,L7185"
,,9/2,20 519.2694,0.0006,1.161,,,,,,,,"L18847,L7185"
,,,,,,,,,,,,,
3d5,a 4P,5/2,21 822.5042,0.0005,1.590,,,,,,,,"L18847,L7185"
,,1/2,21 823.7200,0.0005,2.693,,,,,,,,"L18847,L7185"
,,3/2,21 824.1406,0.0005,1.717,,,,,,,,"L18847,L7185"
,,,,,,,,,,,,,
3d5,b 4D,7/2,25 033.6679,0.0005,1.432,,,,,,,,"L18847,L7185"
,,1/2,25 035.3437,0.0008,-0.045,,,,,,,,"L18847,L7185"
,,3/2,25 042.7595,0.0005,1.207,,,,,,,,"L18847,L7185"
,,5/2,25 046.7144,0.0005,1.381,,,,,,,,"L18847,L7185"
,,,,,,,,,,,,,
