Configuration,Term,J,"Level 
 (cm-1)","Uncertainty 
 (cm-1)",Landé-g,Leading percentages,,,,,,,Reference
,,,,,,,,,,,,,
3d10,1S,0,0.000,0.017,,97,,,,2,3d94d,1S,L19804
,,,,,,,,,,,,,
3d94s,3D,3,21 928.7326,0.0014,1.32,98,,,,,,,"L19804,L10559"
,,2,22 847.1176,0.0005,1.16,89,,,,9,3d94s,1D,"L19804,L10559"
,,1,23 998.3718,0.0009,0.48,98,,,,,,,"L19804,L10559"
,,,,,,,,,,,,,
3d94s,1D,2,26 264.5502,0.0012,1.00,89,,,,9,3d94s,3D,"L19804,L10559"
,,,,,,,,,,,,,
3d94p,3P°,2,66 418.6849,0.0014,1.49,96,,,,2,3d94p,3D°,"L19804,L10559"
,,1,67 916.5572,0.0011,1.49,95,,,,2,3d94p,1P°,"L19804,L10559"
,,0,68 850.2628,0.0014,,98,,,,,,,L19804
,,,,,,,,,,,,,
3d94p,3F°,3,68 447.7349,0.0013,1.06,62,,,,34,3d94p,1F°,"L19804,L10559"
,,4,68 730.8876,0.0017,1.23,98,,,,,,,"L19804,L10559"
,,2,69 867.9849,0.0011,0.67,88,,,,6,3d94p,3D°,"L19804,L10559"
,,,,,,,,,,,,,
3d84s2,3F,4,69 704.7015,0.0019,,95,,,,4,3d8(3F)4p2(1S),3F,L19804
,,3,71 531.542,0.003,,95,,,,4,3d8(3F)4p2(1S),3F,L19804
,,2,72 723.817,0.004,,94,,,,4,3d8(3F)4p2(1S),3F,L19804
,,,,,,,,,,,,,
3d94p,1F°,3,70 841.4669,0.0014,,49,,,,31,3d94p,3D°,L19804
,,,,,,,,,,,,,
3d94p,1D°,2,71 493.8548,0.0007,1.08,54,,,,35,3d94p,3D°,"L19804,L10559"
,,,,,,,,,,,,,
3d94p,3D°,3,71 920.0961,0.0008,,64,,,,19,3d94p,3F°,L19804
,,1,73 102.0408,0.0007,0.47,92,,,,3,3d94p,1P°,"L19804,L10559"
,,2,73 353.2957,0.0008,0.99,54,,,,41,3d94p,1D°,"L19804,L10559"
,,,,,,,,,,,,,
3d94p,1P°,1,73 595.8143,0.0018,1.04,93,,,,4,3d94p,3D°,"L19804,L10559"
,,,,,,,,,,,,,
3d84s2,1D,2,85 388.772,0.003,,73,,,,21,3d84s2,3P,L19804
,,,,,,,,,,,,,
3d84s2,3P,2,88 362.001,0.003,,74,,,,21,3d84s2,1D,L19804
,,1,88 605.096,0.004,,95,,,,4,3d8(3P)4p2(1S),3P,L19804
,,0,88 926.002,0.003,,95,,,,4,3d8(3P)4p2(1S),3P,L19804
,,,,,,,,,,,,,
3d84s2,1G,4,95 565.619,0.003,0.98,95,,,,4,3d8(1G)4p2(1S),1G,"L19804,L10559"
,,,,,,,,,,,,,
3d8(3F)4s4p(3P°),5D°,4,107 942.795,0.010,,93,,,,4,3d8(3P)4s4p(3P°),5D°,L19804
,,3,109 276.015,0.006,,91,,,,4,3d8(3P)4s4p(3P°),5D°,L19804
,,2,110 363.725,0.008,,91,,,,5,3d8(3P)4s4p(3P°),5D°,L19804
,,1,111 124.39,0.14,,93,,,,5,3d8(3P)4s4p(3P°),5D°,L19804
,,,,,,,,,,,,,
3d9(2D5/2)5s,2[5/2],3,108 014.8372,0.0012,,100,,,,,,,L19804
,,2,108 335.6078,0.0012,,98,,,,2,3d9(2D3/2)5s,2[3/2],L19804
,,,,,,,,,,,,,
3d9(2D3/2)5s,2[3/2],1,110 084.4773,0.0011,,100,,,,,,,L19804
,,2,110 366.1542,0.0011,,98,,,,2,3d9(2D5/2)5s,2[5/2],L19804
,,,,,,,,,,,,,
3d8(3F)4s4p(3P°),5G°,5,110 631.196,0.009,,82,,,,13,3d8(3F)4s4p(3P°),5F°,L19804
,,4,111 218.705,0.008,,83,,,,10,3d8(3F)4s4p(3P°),5F°,L19804
,,3,111 876.412,0.008,,89,,,,7,3d8(3F)4s4p(3P°),5F°,L19804
,,2,112 424.679,0.023,,95,,,,3,3d8(3F)4s4p(3P°),5F°,L19804
,,,,,,,,,,,,,
3d8(3F)4s4p(3P°),5F°,5,112 401.632,0.022,,86,,,,12,3d8(3F)4s4p(3P°),5G°,L19804
,,4,113 302.823,0.006,,84,,,,9,3d8(3F)4s4p(3P°),5G°,L19804
,,3,114 000.452,0.007,,86,,,,7,3d8(3F)4s4p(3P°),5G°,L19804
,,2,114 481.674,0.006,,92,,,,3,3d8(3F)4s4p(3P°),5G°,L19804
,,1,114 755.953,0.011,,97,,,,,,,L19804
,,,,,,,,,,,,,
3d9(2D5/2)4d,2[1/2],1,114 511.2386,0.0012,,91,,,,7,3d9(2D3/2)4d,2[1/2],L19804
,,0,116 576.5758,0.0018,,53,,,,45,3d9(2D3/2)4d,2[1/2],L19804
,,,,,,,,,,,,,
3d8(3F)4s4p(3P°),3G°,4,115 359.532,0.005,,71,,,,20,3d8(3F)4s4p(3P°),1G°,L19804
,,5,115 546.114,0.011,,93,,,,6,3d8(3F)4s4p(3P°),5G°,L19804
,,3,116 643.960,0.003,,57,,,,36,3d8(3F)4s4p(3P°),3D°,L19804
,,,,,,,,,,,,,
3d9(2D5/2)4d,2[9/2],5,115 568.99497,0.0012,,99,,,,,,,L19804
,,4,115 662.5622,0.0014,,97,,,,1,3d9(2D5/2)4d,2[7/2],L19804
,,,,,,,,,,,,,
3d9(2D5/2)4d,2[3/2],2,115 638.8036,0.0011,,93,,,,4,3d9(2D5/2)4d,2[5/2],L19804
,,1,115 665.1539,0.0011,,97,,,,1,3d9(2D3/2)4d,2[1/2],L19804
,,,,,,,,,,,,,
3d9(2D5/2)4d,2[5/2],3,116 080.2237,0.0010,,97,,,,1,3d9(2D5/2)4d,2[7/2],L19804
,,2,116 387.7873,0.0010,,92,,,,3,3d9(2D3/2)4d,2[3/2],L19804
,,,,,,,,,,,,,
3d9(2D5/2)4d,2[7/2],3,116 325.9148,0.0011,,93,,,,4,3d9(2D3/2)4d,2[7/2],L19804
,,4,116 371.18040,0.0011,,95,,,,2,3d9(2D3/2)4d,2[7/2],L19804
,,,,,,,,,,,,,
3d8(3F)4s4p(3P°),3D°,3,116 375.406,0.003,,44,,,,35,3d8(3F)4s4p(3P°),3G°,L19804
,,2,117 130.340,0.003,,75,,,,10,3d8(3F)4s4p(3P°),3F°,L19804
,,1,118 071.302,0.003,,87,,,,6,3d8(1D)4s4p(3P°),3D°,L19804
,,,,,,,,,,,,,
3d9(2D3/2)4d,2[1/2],1,117 231.4014,0.0019,,91,,,,7,3d9(2D5/2)4d,2[1/2],L19804
,,0,122 415.957,0.003,,45,,,,34,3d9(2D5/2)4d,2[1/2],L19804
,,,,,,,,,,,,,
3d8(3F)4s4p(3P°),3F°,4,117 666.626,0.005,,88,,,,3,3d8(3F)4s4p(3P°),5F°,L19804
,,3,118 142.950,0.003,,63,,,,14,3d8(3F)4s4p(3P°),1F°,L19804
,,2,119 039.6355,0.0019,,82,,,,8,3d8(3F)4s4p(3P°),3D°,L19804
,,,,,,,,,,,,,
3d9(2D3/2)4d,2[7/2],3,117 747.3504,0.0015,,95,,,,4,3d9(2D5/2)4d,2[7/2],L19804
,,4,117 883.0985,0.0013,,96,,,,2,3d9(2D5/2)4d,2[7/2],L19804
,,,,,,,,,,,,,
3d9(2D3/2)4d,2[3/2],1,117 928.2197,0.0018,,98,,,,,,,L19804
,,2,118 163.2663,0.0015,,82,,,,12,3d9(2D3/2)4d,2[5/2],L19804
,,,,,,,,,,,,,
3d9(2D3/2)4d,2[5/2],3,118 483.8135,0.0015,,98,,,,1,3d9(2D5/2)4d,2[5/2],L19804
,,2,118 531.9058,0.0016,,86,,,,12,3d9(2D3/2)4d,2[3/2],L19804
,,,,,,,,,,,,,
3d8(3F)4s4p(3P°),1G°,4,118 991.330,0.007,,75,,,,20,3d8(3F)4s4p(3P°),3G°,L19804
,,,,,,,,,,,,,
3d9(2D5/2)5p,2[3/2]°,2,120 092.3828,0.0012,,96,,,,2,3d84s4p,,L19804
,,1,120 919.5715,0.0012,,83,,,,15,3d9(2D3/2)5p,2[1/2]°,L19804
,,,,,,,,,,,,,
3d9(2D5/2)5p,2[7/2]°,3,120 684.7128,0.0013,,86,,,,13,3d84s4p,,L19804
,,4,120 789.80865,0.0013,,95,,,,4,3d84s4p,,L19804
,,,,,,,,,,,,,
