Configuration,Term,J,"Level 
 (cm-1)","Uncertainty 
 (cm-1)",Landé-g,Leading percentages,,,,,,,Reference
,,,,,,,,,,,,,
3d6(5D)4s,a 6D,9/2,0.0000,0.0000,1.58,100,,,,,,,"L18349,L18361c138"
,,7/2,384.7872,0.0003,1.58,100,,,,,,,"L18349,L18361c138"
,,5/2,667.6829,0.0003,1.655,100,,,,,,,"L18349,L18361c138"
,,3/2,862.6118,0.0004,1.862,100,,,,,,,"L18349,L18361c138"
,,1/2,977.0498,0.0004,3.31,100,,,,,,,"L18349,L18361c138"
,,,,,,,,,,,,,
3d7,a 4F,9/2,1 872.5998,0.0006,1.33,100,,,,,,,"L18349,L18361c138"
,,7/2,2 430.1369,0.0006,1.223,100,,,,,,,"L18349,L18361c138"
,,5/2,2 837.9807,0.0007,1.02,100,,,,,,,"L18349,L18361c138"
,,3/2,3 117.4877,0.0008,0.385,100,,,,,,,"L18349,L18361c138"
,,,,,,,,,,,,,
3d6(5D)4s,a 4D,7/2,7 955.3186,0.0007,1.419,99,,,,,,,"L18349,L18361c138"
,,5/2,8 391.9554,0.0007,1.365,99,,,,,,,"L18349,L18361c138"
,,3/2,8 680.4706,0.0007,1.200,99,,,,,,,"L18349,L18361c138"
,,1/2,8 846.7837,0.0008,-0.05,99,,,,,,,"L18349,L18361c138"
,,,,,,,,,,,,,
3d7,a 4P,5/2,13 474.4474,0.0009,1.609,98,,,,,,,"L18349,L18361c138"
,,3/2,13 673.2045,0.0010,1.737,96,,,,2,3d7,2P,"L18349,L18361c138"
,,1/2,13 904.8604,0.0012,2.67,98,,,,,,,"L18349,L18361c138"
,,,,,,,,,,,,,
3d7,a 2G,9/2,15 844.6485,0.0012,,98,,,,,,,"L18349,L18361c138"
,,7/2,16 369.4098,0.0013,,100,,,,,,,"L18349,L18361c138"
,,,,,,,,,,,,,
3d7,a 2P,3/2,18 360.6399,0.0016,1.28,90,,,,6,3d7,2D2,"L18349,L18361c138"
,,1/2,18 886.773,0.002,,98,,,,,,,"L18349,L18361c138"
,,,,,,,,,,,,,
3d7,a 2H,11/2,20 340.2461,0.0013,,99,,,,,,,"L18349,L18361c138"
,,9/2,20 805.7632,0.0014,0.92,98,,,,,,,"L18349,L18361c138"
,,,,,,,,,,,,,
3d7,a 2D2,5/2,20 516.9534,0.0016,1.22,74,,,,23,3d7,2D1,"L18349,L18361c138"
,,3/2,21 307.999,0.002,,72,,,,20,3d7,2D1,"L18349,L18361c138"
,,,,,,,,,,,,,
3d6(3P2)4s,b 4P,5/2,20 830.5534,0.0011,1.583,60,,,,37,3d6(3P1)4s,4P,"L18349,L18361c138"
,,3/2,21 812.0454,0.0012,1.720,60,,,,37,3d6(3P1)4s,4P,"L18349,L18361c138"
,,1/2,22 409.8178,0.0013,2.68,61,,,,37,3d6(3P1)4s,4P,"L18349,L18361c138"
,,,,,,,,,,,,,
3d6(3H)4s,a 4H,13/2,21 251.5833,0.0011,1.20,100,,,,,,,"L18349,L18361c138"
,,11/2,21 430.3564,0.0010,1.119,99,,,,,,,"L18349,L18361c138"
