Configuration,Term,J,"Level 
 (cm-1)","Uncertainty 
 (cm-1)",Leading percentages,,,,,,,Reference
,,,,,,,,,,,,
3d6,5D,4,0.00,0,100,,,,,,,L11223
,,3,436.19,0.04,100,,,,,,,L11223
,,2,738.87,0.14,100,,,,,,,L11223
,,1,932.52,0.16,100,,,,,,,L11223
,,0,1 027.26,0.25,100,,,,,,,L11223
,,,,,,,,,,,,
3d6,a 3P,2,19 404.42,0.14,61,,,,39,3d6,b 3P,L11223
,,1,20 688.12,0.16,62,,,,38,3d6,b 3P,L11223
,,0,21 208.12,0.23,62,,,,38,3d6,b 3P,L11223
,,,,,,,,,,,,
3d6,3H,6,20 051.36,0.14,100,,,,,,,L11223
,,5,20 300.59,0.13,99,,,,,,,L11223
,,4,20 481.72,0.13,97,,,,,,,L11223
,,,,,,,,,,,,
3d6,a 3F,4,21 461.92,0.12,75,,,,21,3d6,b 3F,L11223
,,3,21 699.79,0.11,77,,,,21,3d6,b 3F,L11223
,,2,21 857.08,0.13,80,,,,20,3d6,b 3F,L11223
,,,,,,,,,,,,
3d6,3G,5,24 558.44,0.14,99,,,,,,,L11223
,,4,24 941.12,0.12,96,,,,,,,L11223
,,3,25 142.12,0.12,98,,,,,,,L11223
,,,,,,,,,,,,
3d5(6S)4s,7S,3,30 089.69,0.13,100,,,,,,,L11223
,,,,,,,,,,,,
3d6,1I,6,30 355.88,0.17,100,,,,,,,L11223
,,,,,,,,,,,,
3d6,3D,2,30 715.98,0.11,99,,,,,,,L11223
,,1,30 725.46,0.13,100,,,,,,,L11223
,,3,30 857.69,0.11,100,,,,,,,L11223
,,,,,,,,,,,,
3d6,a 1G,4,30 886.19,0.14,65,,,,34,3d6,b 1G,L11223
,,,,,,,,,,,,
3d6,a 1S,0,34 811.9,0.4,76,,,,23,3d6,b 1S,L11223
,,,,,,,,,,,,
3d6,a 1D,2,35 803.01,0.16,77,,,,22,3d6,b 1D,L11223
,,,,,,,,,,,,
3d5(6S)4s,5S,2,41 000.31,0.10,100,,,,,,,L11223
,,,,,,,,,,,,
3d6,1F,3,42 896.27,0.12,99,,,,,,,L11223
,,,,,,,,,,,,
3d6,b 3P,0,49 149.58,0.17,62,,,,38,3d6,a 3P,L11223
,,1,49 577.27,0.11,62,,,,38,3d6,a 3P,L11223
,,2,50 411.95,0.11,61,,,,39,3d6,a 3P,L11223
,,,,,,,,,,,,
3d6,b 3F,2,50 184.97,0.11,80,,,,20,3d6,a 3F,L11223
,,4,50 276.19,0.10,78,,,,22,3d6,a 3F,L11223
,,3,50 295.10,0.10,79,,,,21,3d6,a 3F,L11223
,,,,,,,,,,,,
3d6,b 1G,4,57 221.20,0.12,65,,,,35,3d6,a 1G,L11223
,,,,,,,,,,,,
3d5(4G)4s,5G,6,63 425.74,0.10,100,,,,,,,L11223
,,5,63 466.85,0.09,100,,,,,,,L11223
,,4,63 487.32,0.09,100,,,,,,,L11223
,,3,63 494.73,0.10,100,,,,,,,L11223
,,2,63 495.00,0.12,100,,,,,,,L11223
,,,,,,,,,,,,
3d5(4P)4s,5P,3,66 465.04,0.09,95,,,,,,,L11223
,,2,66 523.30,0.09,96,,,,,,,L11223
,,1,66 592.08,0.09,98,,,,,,,L11223
,,,,,,,,,,,,
3d5(4D)4s,5D,4,69 696.16,0.09,100,,,,,,,L11223
,,0,69 747.95,0.09,99,,,,,,,L11223
,,1,69 788.52,0.09,98,,,,,,,L11223
,,3,69 837.15,0.09,96,,,,,,,L11223
