Configuration,Term,J,Prefix,Level (cm-1),Suffix,Uncertainty (cm-1),Leading percentages,Reference
2s2.2p6,1S,0,,0,,3000,                                                           ,L7185
2s2.2p5.(2P*<3/2>).3s,"(3/2,1/2)*",2,,5849490,,50, 100                                                       ,
2s2.2p5.(2P*<3/2>).3s,"(3/2,1/2)*",1,,5864770,,50,"  98             :     2  2s2.2p5.(2P*<3/2>).3s (1/2,1/2)* ",
2s2.2p5.(2P*<1/2>).3s,"(1/2,1/2)*",0,,5951210,,50, 100                                                       ,
2s2.2p5.(2P*<1/2>).3s,"(1/2,1/2)*",1,,5960870,,50,"  98             :     2  2s2.2p5.(2P*<1/2>).3s (3/2,1/2)* ",
2s2.2p5.3p,3S,1,,6093450,,50,  82             :    17  2s2.2p5.3p            3P         ,
2s2.2p5.3p,3D,2,,6121690,,50,  59             :    28  2s2.2p5.3p            1D         ,
2s2.2p5.3p,3D,3,,6134730,,50, 100                                                       ,
2s2.2p5.3p,1P,1,,6143850,,50,  50             :    26  2s2.2p5.3p            3D         ,
2s2.2p5.3p,3P,2,,6158470,,50,  67             :    33  2s2.2p5.3p            1D         ,
2s2.2p5.3p,3P,0,,6202250,,50,  94             :     6  2s2.2p5.3p            1S         ,
2s2.2p5.3p,3D,1,,6219030,,50,  67             :    31  2s2.2p5.3p            1P         ,
2s2.2p5.3p,3P,1,,6245210,,50,  63             :    18  2s2.2p5.3p            1P         ,
2s2.2p5.3p,1D,2,,6248260,,50,  41  3D         :    39  2s2.2p5.3p            1D         ,
2s2.2p5.3p,1S,0,,6353410,,50,  94             :     6  2s2.2p5.3p            3P         ,
2s2.2p5.3d,3P*,0,,6463980,,50, 100                                                       ,
2s2.2p5.3d,3P*,1,,6471800,,50,  92             :     8  2s2.2p5.3d            3D*        ,
2s2.2p5.3d,3P*,2,,6486400,,50,  72             :    20  2s2.2p5.3d            3D*        ,
2s2.2p5.3d,3F*,4,,6486830,,50, 100                                                       ,
2s2.2p5.3d,3F*,3,,6493030,,50,  65             :    29  2s2.2p5.3d            1F*        ,
2s2.2p5.3d,1D*,2,,6506700,,50,  41             :    35  2s2.2p5.3d            3F*        ,
2s2.2p5.3d,3D*,3,,6515350,,50,  64             :    34  2s2.2p5.3d            1F*        ,
2s2.2p5.3d,3D*,1,,6552200,,50,  73             :    22  2s2.2p5.3d            1P*        ,
2s2.2p5.3d,3F*,2,,6594360,,50,  64             :    27  2s2.2p5.3d            1D*        ,
2s2.2p5.3d,3D*,2,,6600950,,50,  48             :    27  2s2.2p5.3d            3P*        ,
2s2.2p5.3d,1F*,3,,6605150,,50,  37  1F*        :    33  2s2.2p5.3d            3F*        ,
2s2.2p5.3d,1P*,1,,6660000,,3000,  77             :    19  2s2.2p5.3d            3D*        ,
2s.2p6.3s,1S,0,,7010000,,3000,                                                           ,
2s.2p6.3p,3P*,1,,7198900,,3000,                                                           ,
2s.2p6.3p,1P*,1,,7234300,,3000,                                                           ,
2s2.2p5.(2P*<3/2>).4s,"(3/2,1/2)*",2,,7879000,,3000,                                                           ,
2s2.2p5.(2P*<3/2>).4s,"(3/2,1/2)*",1,,7885800,,3000,                                                           ,
2s2.2p5.(2P*<1/2>).4s,"(1/2,1/2)*",1,,7983000,,3000,                                                           ,
2s2.2p5.4d,3P*,1,,8116000,,3000,                                                           ,
2s2.2p5.4d,3F*,4,,8123600,,3000,                                                           ,
2s2.2p5.4d,3D*,3,,8125800,,3000,                                                           ,
2s2.2p5.4d,1D*,2,,8151700,,3000,                                                           ,
2s2.2p5.4d,3D*,1,,8154000,,3000,                                                           ,
2s2.2p5.(2P*<1/2>).4f,2[7/2],4,,8180000,,3000,                                                           ,
2s2.2p5.(2P*<3/2>).4f,2[3/2],2,,8188000,,3000,                                                           ,
2s2.2p5.(2P*<3/2>).4f,2[9/2],5,,8188000,,3000,                                                           ,
2s2.2p5.(2P*<3/2>).4f,2[5/2],3,,8192000,,3000,                                                           ,
2s2.2p5.(2P*<3/2>).4f,2[7/2],4,,8193000,,3000,                                                           ,
2s2.2p5.(2P*<1/2>).4f,2[7/2],3,,8204000,,3000,                                                           ,
2s2.2p5.(2P*<3/2>).4f,2[9/2],4,,8210000,,3000,                                                           ,
2s2.2p5.4d,1P*,1,,8249000,,3000,                                                           ,
2s2.2p5.(2P*<1/2>).4f,2[5/2],3,,8289000,,3000,                                                           ,
2s2.2p5.(2P*<3/2>).4f,2[7/2],3,,8289000,,3000,                                                           ,
2s2.2p5.(2P*<3/2>).5s,"(3/2,1/2)*",1,,8757000,,3000,                                                           ,
2s2.2p5.(2P*<1/2>).5s,"(1/2,1/2)*",1,,8860000,,3000,                                                           ,
2s2.2p5.5d,3P*,1,,8860000,,3000,                                                           ,
2s2.2p5.5d,3D*,1,,8887000,,3000,                                                           ,
2s2.2p5.(2P*<3/2>).5f,2[9/2],5,,8903000,,3000,                                                           ,
2s2.2p5.5d,1P*,1,,8982000,,3000,                                                           ,
2s.2p6.4p,3P*,1,,9056000,,3000,                                                           ,
2s.2p6.4p,1P*,1,,9072000,,3000,                                                           ,
2s2.2p5.(2P*<3/2>).6s,"(3/2,1/2)*",1,,9216000,,3000,                                                           ,
2s2.2p5.(2P*<3/2>).6d,2[3/2]*,1,,9285000,,3000,                                                           ,
2s2.2p5.(2P*<1/2>).6d,2[3/2]*,1,,9383000,,3000,                                                           ,
2s2.2p5.(2P*<3/2>).7s,"(3/2,1/2)*",1,,9479000,,3000,                                                           ,
2s2.2p5.(2P*<3/2>).7d,2[3/2]*,1,,9524000,,3000,                                                           ,
2s2.2p5.(2P*<1/2>).7d,2[3/2]*,1,,9628000,,3000,                                                           ,
2s2.2p5.(2P*<3/2>).8d,2[3/2]*,1,,9690000,,3000,                                                           ,
2s2.2p5.(2P*<1/2>).8d,2[3/2]*,1,,9784000,,3000,                                                           ,
2s.2p6.5p,1P*,1,,9878000,,3000,                                                           ,
2s.2p6.5p,3P*,1,,9878000,,3000,                                                           ,
Fe XVIII (2p5 2P*<3/2>),Limit,---,[,10184000,],5300,                                                           ,L11770
