Configuration,Term,J,Prefix,Level (cm-1),Suffix,Uncertainty (cm-1),Leading percentages,Reference
1s2.2s,2S,1/2,,0,,0, 100                                           ,L7185
1s2.2p,2P*,1/2,,391982,,7, 100                                           ,u57
1s2.2p,2P*,3/2,,520765,,9, 100                                           ,u57
1s2.3s,2S,1/2,,9272500,,1700,                                               ,
1s2.3p,2P*,1/2,,9378200,,2600,                                               ,
1s2.3p,2P*,3/2,,9417100,,2700,                                               ,
1s2.3d,2D,3/2,,9459000,,1700,                                               ,
1s2.3d,2D,5/2,,9472600,,2400,                                               ,
1s2.4s,2S,1/2,,12464400,,700,                                               ,
1s2.4p,2P*,1/2,,12508900,,1600,                                               ,
1s2.4p,2P*,3/2,,12524900,,1600,                                               ,
1s2.4d,2D,3/2,,12539200,,2200,                                               ,
1s2.4d,2D,5/2,,12545200,,2700,                                               ,
1s2.4f,2F*,5/2,,12547600,,1700,                                               ,
1s2.4f,2F*,7/2,,12551600,,2400,                                               ,
1s2.5s,2S,1/2,[,13925450,],700,                                               ,
1s2.5p,2P*,1/2,,13943400,,5800,                                               ,
1s2.5p,2P*,3/2,,13951600,,5800,                                               ,
1s2.5d,2D,3/2,,13960500,,5500,                                               ,
1s2.5d,2D,5/2,,13965300,,5500,                                               ,
1s2.6p,2P*,1/2,,14730900,,6500,                                               ,
1s2.6d,2D,3/2,,14735100,,6200,                                               ,
1s2.6p,2P*,3/2,,14735600,,6500,                                               ,
1s2.6d,2D,5/2,,14739500,,6200,                                               ,
1s2.7d,2D,5/2,,15208600,,6500,                                               ,
1s2.7d,2D,3/2,,15209500,,6500,                                               ,
Fe XXV (1s2 1S<0>),Limit,---,(,16500160,),60,                                               ,L16264c99
1s.2s2,2S,1/2,(,53239600,),290,  94         :     5  1s.2p2              2S   ,"L20538,L22456"
1s.(2S).2s.2p.(3P*),4P*,1/2,(,53336150,),240,  99                                           ,"L20538,L22456"
1s.(2S).2s.2p.(3P*),4P*,3/2,(,53366060,),240,  97         :     2  1s.(2S).2s.2p.(1P*) 2P*  ,"L20538,L22456"
1s.(2S).2s.2p.(3P*),4P*,5/2,(,53458350,),240, 100                                           ,"L20538,L22456"
1s.(2S).2s.2p.(3P*),2P*,1/2,(,53658350,),250,  98         :     2  1s.(2S).2s.2p.(1P*) 2P*  ,"L20538,L22456"
1s.(2S).2s.2p.(3P*),2P*,3/2,(,53734170,),250,  82         :    16  1s.(2S).2s.2p.(1P*) 2P*  ,"L20538,L22456"
1s.2p2,4P,1/2,(,53801810,),220,  94         :     4  1s.2p2              2S   ,"L20538,L22456"
1s.(2S).2s.2p.(1P*),2P*,1/2,(,53846430,),250,  98         :     2  1s.(2S).2s.2p.(3P*) 2P*  ,"L20538,L22456"
1s.2p2,4P,3/2,(,53869190,),220,  98                                           ,"L20538,L22456"
1s.(2S).2s.2p.(1P*),2P*,3/2,(,53870580,),250,  82         :    17  1s.(2S).2s.2p.(3P*) 2P*  ,"L20538,L22456"
1s.2p2,4P,5/2,(,53917160,),220,  87         :    13  1s.2p2              2D   ,"L20538,L22456"
1s.2p2,2D,3/2,(,54066230,),240,  79         :    21  1s.2p2              2P   ,"L20538,L22456"
1s.2p2,2P,1/2,(,54074850,),220,  93         :     4  1s.2p2              2S   ,"L20538,L22456"
1s.2p2,2D,5/2,(,54113350,),240,  87         :    13  1s.2p2              4P   ,"L20538,L22456"
1s.2p2,2P,3/2,(,54222070,),220,  79         :    20  1s.2p2              2D   ,"L20538,L22456"
1s.2p2,2S,1/2,(,54379370,),250,  87         :     5  1s.2p2              2P   ,"L20538,L22456"
1s.2s.(3S<1>).3p,"(1,1/2)*",1/2,,62790000,,12000,                                               ,
1s.2s.(1S<0>).3p,"(0,1/2)*",1/2,,62970000,,12000,                                               ,
1s.2p.3s,2P*,3/2,,63209000,,12000,                                               ,
1s.2p.(3P*).3d,4D*,3/2,,63281000,,12000,                                               ,
1s.2p.3d,2F*,7/2,,63350600,,4000,                                               ,
1s.2p.3p,2D,3/2,,63352000,,4000,                                               ,
1s.2p.3p,2D,5/2,,63368100,,4000,                                               ,
1s.2p.3p,2S,1/2,,63572000,,12000,                                               ,
