Configuration,Term,J,Prefix,Level (cm-1),Suffix,Uncertainty (cm-1),Lande,Reference
5d.6s2,a 2D,3/2,,0.00,,0,0.787,L3466
5d.6s2,a 2D,5/2,,3050.88,,,1.173,L3466
5d2.(3F).6s,a 4F,3/2,,3644.65,,,0.425,L3466
5d2.(3F).6s,a 4F,5/2,,4904.85,,,1.052,L3466
5d2.(3F).6s,a 4F,7/2,,6344.34,,,1.236,L3466
5d2.(3F).6s,a 4F,9/2,,8361.76,,,1.328,L3466
5d2.(3P).6s,a 4P,1/2,,11951.70,,,2.598,L3466
5d2.(3P).6s,a 4P,3/2,,12920.94,,,1.664,L3466
5d2.(3P).6s,a 4P,5/2,,13485.56,,,1.410,L3466
5d2.(3F).6s,a 2F,5/2,,12070.46,,,0.964,L3466
5d2.(3F).6s,a 2F,7/2,,15084.26,,,1.10,L3466
5d2.(1D).6s,b 2D,3/2,,14359.42,,,1.034,L3466
5d2.(1D).6s,b 2D,5/2,,17368.87,,,1.273,L3466
5d2.(3P).6s,a 2P,1/2,,15254.29,,,0.737,L3466
5d2.(3P).6s,a 2P,3/2,,17830.34,,,1.122,L3466
5d2.(1G).6s,a 2G,9/2,,17389.06,,,1.14,L3466
5d2.(1G).6s,a 2G,7/2,,17710.72,,,0.940,L3466
5d3,b 4F,3/2,,18897.64,,,0.446,L3466
5d3,b 4F,5/2,,20134.94,,,1.030,L3466
5d3,b 4F,7/2,,21637.97,,,1.221,L3466
5d3,b 4F,9/2,,23145.57,,,1.309,L3466
5d3,b 4P,1/2,,26996.51,,,2.58,L3466
5d3,b 4P,3/2,,27285.13,,,1.643,L3466
5d3,b 4P,5/2,,28547.05,,,1.573,L3466
5d.6s.(3D).6p,z 4F*,3/2,,28068.79,,,0.512,L3466
5d.6s.(3D).6p,z 4F*,5/2,,29405.12,,,1.076,L3466
5d.6s.(3D).6p,z 4F*,7/2,,33776.24,,,1.252,L3466
5d.6s.(3D).6p,z 4F*,9/2,,38185.67,,,1.33,L3466
5d3,b 2G,9/2,,28104.83,,,0.997,L3466
5d3,b 2G,7/2,,28458.16,,,0.897,L3466
5d.6s.(3D).6p,z 4D*,1/2,,29160.04,,,0.486,L3466
5d.6s.(3D).6p,z 4D*,3/2,,31784.16,,,1.216,L3466
5d.6s.(3D).6p,z 4D*,5/2,,34355.13,,,1.320,L3466
5d.6s.(3D).6p,z 4D*,7/2,,36882.49,,,1.380,L3466
5d3,c 2D,3/2,,30594.63,,,0.91,L3466
5d3,c 2D,5/2,,32778.16,,,1.21,L3466
5d3,a 2H,11/2,,30941.97,,,1.10,L3466
5d3,a 2H,9/2,,31877.74,,,1.05,L3466
5d.6s.(3D).6p,z 2P*,1/2,,33136.20,,,0.217,L3466
5d.6s.(3D).6p,z 2P*,3/2,,36373.42,,,1.323,L3466
5d.6s.(1D).6p,z 2D*,5/2,,33180.92,,,1.036,L3466
5d.6s.(1D).6p,z 2D*,3/2,,34123.93,,,0.800,L3466
5d2.(3F).6p,z 4G*,5/2,,34942.36,,,0.981,L3466
5d2.(3F).6p,z 4G*,7/2,,38498.53,,,1.044,L3466
5d2.(3F).6p,z 4G*,9/2,,42391.09,,,1.168,L3466
5d2.(3F).6p,z 4G*,11/2,,46209.05,,,1.27,L3466
5d3,b 2P,1/2,,35146.73,,,0.74,L3466
5d3,b 2P,3/2,,37324.22,,,1.28,L3466
5d3,b 2F,5/2,,37398.44,,,,L3466
5d3,b 2F,7/2,,37439.66,,,1.14,L3466
5d.6s.(3D).6p,y 2D*,3/2,,37885.90,,,0.780,L3466
5d.6s.(3D).6p,y 2D*,5/2,,41761.24,,,1.077,L3466
5d.6s.(3D).6p,z 4P*,1/2,,38398.56,,,2.596,L3466
5d.6s.(3D).6p,z 4P*,3/2,,39226.46,,,1.615,L3466
5d.6s.(3D).6p,z 4P*,5/2,,40506.86,,,1.420,L3466
5d.6s.(3D).6p,z 2F*,5/2,,38578.63,,,0.860,L3466
5d.6s.(3D).6p,z 2F*,7/2,,41406.86,,,1.105,L3466
5d2.(3F).6p,y 4F*,3/2,,42518.10,,,0.562,L3466
5d2.(3F).6p,y 4F*,5/2,,43680.75,,,0.966,L3466
