Configuration,Term,J,Prefix,Level (cm-1),Suffix,Uncertainty (cm-1),Lande,Leading percentages,Reference
5d7.(4F).6s,5F,5,,0.00,,0.11,1.38,  89         :    10  5d7.(2G).6s  3G   ,L4457
5d7.(4F).6s,5F,4,,4787.92,,0.09,1.32,  79         :    11  5d7.(4F).6s  3F   ,L4457
5d7.(4F).6s,5F,3,,8186.89,,0.09,,  77         :     7  5d8          3F   ,L4457
5d7.(4F).6s,5F,2,,11307.53,,0.08,1.08,  42         :    20  5d8          3F   ,L4457
5d7.(4F).6s,5F,1,,11957.83,,0.09,0.63,  57         :    17  5d8          3P   ,L4457
5d8,3F,4,,2262.84,,0.13,,  90         :     4  5d8          1G   ,L4457
5d8,3F,3,,9927.84,,0.12,,  84         :     8  5d7.(4F).6s  5F   ,L4457
5d8,3F,2,,17413.25,,0.08,0.98,  27         :    15  5d7.(2D2).6s 1D   ,L4457
5d8,3P,2,,3090.16,,0.11,,  33         :    25  5d7.(2P).6s  3P   ,L4457
5d8,3P,1,,9062.22,,0.10,1.04,  25         :    28  5d7.(2P).6s  3P   ,L4457
5d8,3P,0,,11212.12,,0.19,,  59         :    28  5d7.(2P).6s  3P   ,L4457
5d8,1D,2,,8974.95,,0.09,,  15         :    38  5d7.(4F).6s  5F   ,L4457
5d7.(4F).6s,3F,4,,11719.11,,0.07,1.21,  48         :    18  5d7.(4F).6s  5F   ,L4457
5d7.(4F).6s,3F,3,,17499.26,,0.00,1.16,  57         :    11  5d7.(2D2).6s 3D   ,L4457
5d7.(4F).6s,3F,2,,22467.78,,0.06,1.09,  26         :    22  5d8          1D   ,L4457
5d7.(4P).6s,5P,3,,12714.66,,0.08,1.57,  81         :     6  5d7.(4F).6s  5F   ,L4457
5d7.(4P).6s,5P,2,,15676.25,,0.07,1.52,  59         :    15  5d8          3P   ,L4457
5d7.(4P).6s,5P,1,,18676.49,,0.09,2.06,  63         :    23  5d8          3P   ,L4457
5d8,1G,4,,17210.16,,0.06,1.24,  23         :    38  5d6.6s2      5D   ,L4457
5d7.(2G).6s,3G,5,,17477.99,,0.09,1.19,  66         :    20  5d7.(2H).6s  3H   ,L4457
5d7.(2G).6s,3G,4,,20294.25,,0.06,1.04,  53         :    18  5d7.(2H).6s  3H   ,L4457
5d7.(2G).6s,3G,3,,23195.17,,0.07,0.91,  67         :    10  5d6.6s2      5D   ,L4457
5d7.(4P).6s,3P,2,,18944.91,,0.06,1.24,  19         :    25  5d8          3P   ,L4457
5d7.(4P).6s,3P,1,,20440.64,,0.08,1.40,  37         :    29  5d7.(2P).6s  1P   ,L4457
5d6.6s2,5D,4,,19279.04,,0.06,1.26,  43         :    23  5d8          1G   ,L4457
5d6.6s2,5D,3,,23727.61,,0.06,1.40,  79         :     6  5d7.(4F).6s  3F   ,L4457
5d6.6s2,5D,2,,25563.67,,0.06,1.44,  65         :    14  5d7.(4P).6s  3P   ,L4457
5d6.6s2,5D,1,,28600.34,,0.07,1.24,  50         :    19  5d7.(4P).6s  3P   ,L4457
5d7.(2H).6s,3H,6,,22266.92,,0.12,1.17,  96         :     3  5d6.6s2      3H   ,L4457
5d7.(2H).6s,3H,5,,25011.17,,0.07,1.06,  64         :    22  5d7.(2H).6s  1H   ,L4457
5d7.(2D2).6s,3D,3,,26391.28,,0.06,,  49         :    22  5d7.(4F).6s  3F   ,L4457
5d7.(2F).6s,3F,3,,31518.49,,0.06,1.05,  62         :    13  5d7.(2F).6s  1F   ,L4457
5d7.(2G).6s,1G,4,,34319.49,,0.08,,  15         :    27  5d6.6s2      3H   ,L4457
5d7.(2P).6s,3P,2,,36160.60,,0.08,,  21         :    12  5d6.6s2      1D2  ,L4457
5d6.6s2,3H,5,,36916.93,,0.12,,  40         :    32  5d6.6s2      3G   ,L4457
5d7.(4F<9/2>).6p,"(9/2,1/2)*",4,,44575.70,,0.05,1.41,                                        ,L4457
5d7.(4F<9/2>).6p,"(9/2,1/2)*",5,,47003.95,,0.08,1.28,                                        ,L4457
5d6.6s.(6D<9/2>).6p,"(9/2,1/2)*",4,,50302.01,,0.06,1.61,                                        ,L4457
5d6.6s.(6D<9/2>).6p,"(9/2,1/2)*",5,,51333.00,,0.08,1.55,                                        ,L4457
5d7.(4F<7/2>).6p,"(7/2,1/2)*",3,,51226.52,,0.06,1.40,                                        ,L4457
