Configuration,Term,J,Prefix,Level (cm-1),Suffix,Uncertainty (cm-1),Lande,Leading percentages,Reference
6s2,1S,0,,0.00,,0,,  98                                 ,L3974
5d.6s,3D,1,,11796.24,,,0.52, 100                                 ,
5d.6s,3D,2,,12435.32,,,1.14,  94                                 ,
5d.6s,3D,3,,14199.08,,,1.41:, 100                                 ,
5d.6s,1D,2,,17332.58,,,1.09,  85             :     9  5d2   1D   ,
6s.6p,3P*,0,,27264.40,,,,  99                                 ,
6s.6p,3P*,1,,28503.16,,,1.51,  94                                 ,
6s.6p,3P*,2,,32453.26,,,1.66:,  98                                 ,
5d2,3F,2,,29406.70,,,0.66,  97                                 ,
5d2,3F,3,,30889.09,,,1.05, 100                                 ,
5d2,3F,4,,32503.62,,,1.27,  98                                 ,
5d2,3P,0,,35652.1,,,,  98                                 ,
5d2,3P,1,,36557.05,,,1.41, 100                                 ,
5d2,3P,2,,38574.94,,,1.49?,  51             :    44        1D   ,
5d2,,2,,36098.18,,,1.37?,  49  3P         :    45        1D   ,
6s.6p,1P*,1,,38223.49,,,0.99,  56             :    34  5d.6p 1P*  ,
5d.6p,3F*,2,,41224.96,,,0.71,  70             :    27        1D*  ,
5d.6p,3F*,3,,44918.68,,,1.08,  93                                 ,
5d.6p,3F*,4,,48536.83,,,1.25, 100                                 ,
5d.6p,1D*,2,,45458.56,,,0.94,  60             :    24        3F*  ,
5d.6p,3D*,1,,45532.33,,,0.43:,  89                                 ,
5d.6p,3D*,2,,46904.38,,,1.13,  87                                 ,
5d.6p,3D*,3,,48733.19,,,1.30,  79             :    14        1F*  ,
5d.6p,3P*,0,,49963.58,,,,  99                                 ,
5d.6p,3P*,1,,50049.20,,,1.43,  90                                 ,
5d.6p,3P*,2,,51201.66,,,1.37,  82             :     9        1D*  ,
5d.6p,1F*,3,,53079.33,,,1.02,  85             :    15        3D*  ,
5d.6p,1P*,1,,59122.4,,,1.37?,  64             :    30  6s.6p 1P*  ,
6s.7s,3S,1,,63774.3,,,2.05,                                     ,
6s.7s,1S,0,,68988.80,,,,                                     ,
6s.6d?,3D?,1,,71169.1,,,,                                     ,
6s.6d?,3D?,2,,71705.1,,,,                                     ,
6s.6d?,3D?,3,,72735.6,,,,                                     ,
,,2 or 3,,72016.6,,,,                                     ,
5d.7s?,3D?,1,,73453.0,,,,                                     ,
5d.7s?,3D?,2,,74122.2,,,,                                     ,
5d.7s?,3D?,3,,75717.6,,,,                                     ,
,,1 or 2,,73588.3,,,,                                     ,
5d.6d?,,2?,,79546.8,?,,,                                     ,
Lu III (6s 2S<1/2>),Limit,---,[,113970,],400,,                                     ,L19870c180
