Configuration,Term,J,"Level 
 (cm-1)","Uncertainty 
 (cm-1)",Leading percentages,,,,,,,Reference
,,,,,,,,,,,,
3d5,a 6S,5/2,0.00,0,100,,,,,,,L7185
,,,,,,,,,,,,
3d5,a 4G,11/2,26 824.40,,100,,,,,,,
,,9/2,26 851.10,,100,,,,,,,
,,5/2,26 857.80,,100,,,,,,,
,,7/2,26 859.90,,100,,,,,,,
,,,,,,,,,,,,
3d5,a 4P,5/2,29 167.70,,97,,,,,,,
,,3/2,29 207.30,,98,,,,,,,
,,1/2,29 241.40,,99,,,,,,,
,,,,,,,,,,,,
3d5,a 4D,7/2,32 307.30,,100,,,,,,,
,,1/2,32 368.9,,99,,,,,,,
,,5/2,32 383.70,,97,,,,,,,
,,3/2,32 384.70,,98,,,,,,,
,,,,,,,,,,,,
3d5,a 2I,11/2,39 174.4,,99,,,,,,,
,,13/2,39 176.5,,100,,,,,,,
,,,,,,,,,,,,
3d5,a 2D3,5/2,41 238.1,,58,,,,22,3d5,2F1,
,,3/2,41 569.8,,73,,,,24,3d5,2D1,
,,,,,,,,,,,,
3d5,a 2F1,7/2,42 606.5,,98,,,,,,,
,,5/2,43 105.4,,72,,,,14,3d5,2D3,
,,,,,,,,,,,,
3d5,a 4F,9/2,43 573.16,,99,,,,,,,
,,7/2,43 602.50,,99,,,,,,,
,,5/2,43 668.84,,90,,,,,,,
,,3/2,43 674.7,,96,,,,,,,
,,,,,,,,,,,,
3d5,a 2H,9/2,46 515.9,,92,,,,,,,
,,11/2,46 670.7,,99,,,,,,,
,,,,,,,,,,,,
3d5,a 2G2,7/2,47 842.0,,99,,,,,,,
,,9/2,48 005.2,,91,,,,,,,
,,,,,,,,,,,,
3d5,b 2F2,5/2,51 002.7,,99,,,,,,,
,,7/2,51 059.7,,99,,,,,,,
,,,,,,,,,,,,
3d5,a 2S,1/2,55 677.7,,100,,,,,,,
,,,,,,,,,,,,
3d5,b 2D2,3/2,61 580.2,,100,,,,,,,
,,5/2,61 603.8,,100,,,,,,,
,,,,,,,,,,,,
3d4(5D)4s,a 6D,1/2,62 456.99,,100,,,,,,,
,,3/2,62 568.08,,100,,,,,,,
,,5/2,62 747.50,,100,,,,,,,
,,7/2,62 988.92,,100,,,,,,,
,,9/2,63 285.37,,100,,,,,,,
,,,,,,,,,,,,
3d5,b 2G1,7/2,68 892.00,,100,,,,,,,
,,9/2,68 899.20,,100,,,,,,,
,,,,,,,,,,,,
3d4(5D)4s,b 4D,1/2,71 395.27,,100,,,,,,,
,,3/2,71 564.21,,100,,,,,,,
,,5/2,71 831.98,,100,,,,,,,
,,7/2,72 183.33,,100,,,,,,,
,,,,,,,,,,,,
3d5,a 2P,3/2,83 176.0,,100,,,,,,,
,,1/2,83 229.0,,100,,,,,,,
,,,,,,,,,,,,
3d4(3P2)4s,b 4P,1/2,84 610.53,,61,,,,38,3d4(3P1)4s,4P,
,,3/2,85 173.88,,61,,,,38,3d4(3P1)4s,4P,
,,5/2,86 051.50,,62,,,,38,3d4(3P1)4s,4P,
,,,,,,,,,,,,
3d4(3H)4s,a 4H,7/2,84 981.63,,100,,,,,,,
,,9/2,85 077.09,,100,,,,,,,
,,11/2,85 200.76,,94,,,,6,3d4(3G)4s,4H,
,,13/2,85 346.72,,100,,,,,,,
,,,,,,,,,,,,
3d4(3F2)4s,b 4F,3/2,86 486.77,,79,,,,20,3d4(3F1)4s,4F,
,,5/2,86 520.94,,79,,,,20,3d4(3F1)4s,4F,
,,7/2,86 578.24,,79,,,,19,3d4(3F1)4s,4F,
,,9/2,86 654.07,,79,,,,19,3d4(3F1)4s,4F,
,,,,,,,,,,,,
3d4(3G)4s,b 4G,5/2,88 880.08,,98,,,,,,,
,,7/2,89 052.44,,98,,,,,,,
,,9/2,89 204.69,,81,,,,18,3d4(3H)4s,2H,
,,11/2,89 307.22,,94,,,,6,3d4(3H)4s,4H,
,,,,,,,,,,,,
3d5,c 2D1,5/2,89 496.3,,76,,,,24,3d5,2D3,
,,3/2,89 543.4?,,75,,,,24,3d5,2D3,
,,,,,,,,,,,,
3d4(3P2)4s,b 2P,1/2,90 233.5,,61,,,,38,3d4(3P1)4s,2P,
,,3/2,91 308.3,,61,,,,38,3d4(3P1)4s,2P,
,,,,,,,,,,,,
3d4(3H)4s,b 2H,9/2,90 440.50,,81,,,,,,,
,,11/2,90 746.06,,98,,,,,,,
,,,,,,,,,,,,
3d4(3F2)4s,c 2F,5/2,91 906.10,,79,,,,20,3d4(3F1)4s,2F,
,,7/2,91 948.30,,79,,,,19,3d4(3F1)4s,2F,
,,,,,,,,,,,,
3d4(3G)4s,c 2G,7/2,94 397.20,,98,,,,,,,
,,9/2,94 707.20,,100,,,,,,,
,,,,,,,,,,,,
3d4(3D)4s,c 4D,7/2,94 697.85,,100,,,,,,,
,,5/2,94 771.47,,100,,,,,,,
,,3/2,94 850.66,,100,,,,,,,
,,1/2,94 906.45,,100,,,,,,,
,,,,,,,,,,,,
3d4(1G2)4s,d 2G,9/2,96 430.4,,66,,,,34,3d4(1G1)4s,2G,
,,7/2,96 487.5,,66,,,,34,3d4(1G1)4s,2G,
,,,,,,,,,,,,
3d4(1I)4s,b 2I,13/2,97 239.86,,100,,,,,,,
,,11/2,97 271.76,,100,,,,,,,
,,,,,,,,,,,,
3d4(1S2)4s,b 2S,1/2,98 960.7,,77,,,,22,3d4(1S1)4s,2S,
,,,,,,,,,,,,
3d4(3D)4s,d 2D,5/2,100 001.30,,100,,,,,,,
,,3/2,100 085.20,,100,,,,,,,
,,,,,,,,,,,,
3d4(1D2)4s,e 2D,5/2,104 470.8,,77,,,,22,3d4(1D1)4s,2D,
,,3/2,104 517.9,,77,,,,21,3d4(1D1)4s,2D,
,,,,,,,,,,,,
3d4(1F)4s,d 2F,7/2,109 861.35,,100,,,,,,,
,,5/2,109 864.40,,100,,,,,,,
,,,,,,,,,,,,
3d4(5D)4p,z 6F°,1/2,110 036.14,,100,,,,,,,
,,3/2,110 172.69,,100,,,,,,,
,,5/2,110 398.50,,100,,,,,,,
,,7/2,110 711.62,,100,,,,,,,
,,9/2,111 111.39,,100,,,,,,,
,,11/2,111 601.45,,100,,,,,,,
,,,,,,,,,,,,
3d4(5D)4p,z 6P°,3/2,111 776.60,,98,,,,,,,
,,5/2,111 883.60,,98,,,,,,,
,,7/2,112 057.80,,100,,,,,,,
,,,,,,,,,,,,
3d4(5D)4p,z 4P°,1/2,112 645.31,,73,,,,24,3d4(5D)4p,6D°,
,,3/2,113 078.34,,66,,,,30,3d4(5D)4p,6D°,
,,5/2,113 676.53,,51,,,,48,3d4(5D)4p,6D°,
,,,,,,,,,,,,
3d4(5D)4p,z 6D°,1/2,113 991.31,,75,,,,24,3d4(5D)4p,4P°,
,,3/2,114 094.97,,69,,,,30,3d4(5D)4p,4P°,
,,7/2,114 209.01,,99,,,,,,,
,,5/2,114 287.91,,52,,,,46,3d4(5D)4p,4P°,
,,9/2,114 501.18,,97,,,,,,,
,,,,,,,,,,,,
3d4(3F1)4s,c 4F,9/2,115 711.60,,81,,,,19,3d4(3F2)4s,4F,
,,3/2,115 762.60,,79,,,,20,3d4(3F2)4s,4F,
,,7/2,115 774.00,,79,,,,20,3d4(3F2)4s,4F,
,,5/2,115 780.23,,79,,,,20,3d4(3F2)4s,4F,
,,,,,,,,,,,,
3d4(3P1)4s,c 4P,3/2,116 207.50,,62,,,,38,3d4(3P2)4s,4P,
,,1/2,116 498.40,,62,,,,38,3d4(3P2)4s,4P,
,,5/2,116 622.40,,62,,,,38,3d4(3P2)4s,4P,
,,,,,,,,,,,,
3d4(5D)4p,z 4F°,3/2,116 580.17,,96,,,,,,,
