Configuration,Term,J,Prefix,Level (cm-1),Suffix,Uncertainty (cm-1),Leading percentages,Reference
4d4,5D,0,,0.00,,0,  98             :     1  4d4          3P1  ,L10502
4d4,5D,1,,242.04,,,  99             :     1  4d4          3P1  ,
4d4,5D,2,,668.24,,,  99                                        ,
4d4,5D,3,,1223.96,,, 100                                        ,
4d4,5D,4,,1872.31,,,  99             :     1  4d4          3F2  ,
4d4,3P2,0,,11149.20,,,  58             :    35  4d4          3P1  ,
4d4,3P2,1,,12510.33,,,  62             :    34  4d4          3P1  ,
4d4,3P2,2,,14357.56,,,  63             :    32  4d4          3P1  ,
4d4,3H,4,,12679.60,,,  84             :     7  4d4          3G   ,
4d4,3H,5,,13275.51,,,  93             :     6  4d4          3G   ,
4d4,3H,6,,13811.19,,,  98             :     2  4d4          1I   ,
4d4,3F2,2,,13928.70,,,  75             :    21  4d4          3F1  ,
4d4,3F2,3,,13948.17,,,  61             :    20  4d4          3G   ,
4d4,3F2,4,,14296.10,,,  63             :    14  4d4          3F1  ,
4d4,3G,3,,15871.20,,,  79             :    17  4d4          3F2  ,
4d4,3G,4,,16282.76,,,  81             :    10  4d4          3F2  ,
4d4,3G,5,,16714.38,,,  93             :     6  4d4          3H   ,
4d4,3D,3,,19487.79,,,  97             :     1  4d4          3D2  ,
4d4,3D,2,,19576.66,,,  89             :     5  4d4          1D2  ,
4d4,1I,6,,20290.23,,,  98             :     2  4d4          3H   ,
4d4,1G2,4,,20611.87,,,  63             :    28  4d4          1G1  ,
4d4,1D2,2,,22806.16,,,  69             :    17  4d4          1D1  ,
4d4,1S2,0,,22990.12,,,  76             :    20  4d4          1S1  ,
4d3.(4F).5s,5F,1,,32418.68,,,  98                                        ,
4d3.(4F).5s,5F,2,,32843.28,,,  98                                        ,
4d3.(4F).5s,5F,3,,33452.23,,,  99                                        ,
4d3.(4F).5s,5F,4,,34225.38,,,  99                                        ,
4d3.(4F).5s,5F,5,,35129.45,,,  99             :     1  4d3.(2G).5s  3G   ,
4d4,1G1,4,,36164.03,,,  64             :    27  4d4          1G2  ,
4d3.(4P).5s,5P,1,,42404.74,,,  98             :     2  4d3.(2P).5s  3P   ,
4d3.(4P).5s,5P,2,,42521.83,,,  58             :    36  4d3.(4F).5s  3F   ,
4d3.(4P).5s,5P,3,,43461.62,,,  93             :     6  4d3.(4F).5s  3F   ,
4d3.(4F).5s,3F,2,,42665.77,,,  58             :    38  4d3.(4P).5s  5P   ,
4d3.(4F).5s,3F,3,,43561.76,,,  87             :     6  4d3.(4P).5s  5P   ,
4d3.(4F).5s,3F,4,,44655.28,,,  89             :     7  4d3.(2G).5s  3G   ,
4d3.(2G).5s,3G,3,,46299.58,,,  95             :     4  4d3.(4F).5s  3F   ,
4d3.(2G).5s,3G,4,,46601.58,,,  85             :     7  4d3.(4F).5s  3F   ,
4d3.(2G).5s,3G,5,,46962.10,,,  88             :    10  4d3.(2H).5s  3H   ,
4d3.(2P).5s,3P,2,,49088.73,,,  56             :    26  4d3.(2D2).5s 3D   ,
4d3.(2H).5s,3H,4,,49541.67,,,  85             :     9  4d3.(2G).5s  1G   ,
4d3.(2H).5s,3H,5,,50318.82,,,  90             :    10  4d3.(2G).5s  3G   ,
4d3.(2H).5s,3H,6,,50481.62,,, 100                                        ,
4d3.5s,,1,,50362.52,,,  38  3P         :    34  4d3.(2D2).5s 3D   ,
4d3.(2D2).5s,3D,3,,51425.90,,,  79             :    18  4d3.(2D1).5s 3D   ,
4d3.(2D2).5s,3D,2,,51482.87,,,  48             :    31  4d3.(2D1).5s 3P   ,
4d3.(2G).5s,1G,4,,52697.96,,,  82             :     9  4d3.(2H).5s  3H   ,
4d3.(4P).5s,3P,1,,52811.03,,,  58             :    25  4d3.(2P).5s  1P   ,
4d3.(4P).5s,3P,0,,53407.46,,,  91             :     4  4d4          3P2  ,
4d3.(4P).5s,3P,2,,54191.24,,,  89             :     4  4d3.(2P).5s  3P   ,
4d3.(2H).5s,1H,5,,54853.34,,,  98             :     1  4d3.(2G).5s  3G   ,
4d3.(2P).5s,1P,1,,55366.47,,,  60             :    34  4d3.(4P).5s  3P   ,
4d3.(2D2).5s,1D,2,,56741.86,,,  68             :    18  4d3.(2D1).5s 1D   ,
4d3.(2F).5s,3F,4,,58730.35,,,  99                                        ,
4d3.(2F).5s,3F,3,,58893.79,,,  99                                        ,
4d3.(4F).5p,5G*,2,,73853.18,,,  96             :     2  4d3.(4F).5p  3F*  ,
4d3.(4F).5p,5G*,3,,74724.77,,,  97             :     2  4d3.(4F).5p  3F*  ,
4d3.(4F).5p,5G*,4,,75816.51,,,  97             :     1  4d3.(4F).5p  3G*  ,
4d3.(4F).5p,5G*,5,,77113.31,,,  96             :     1  4d3.(4F).5p  3G*  ,
