Configuration,Term,J,Prefix,Level (cm-1),Suffix,Uncertainty (cm-1),Leading percentages,Reference
4d3,4F,3/2,,0.00,,0,  99         :     1  4d3           2D2  ,L9419
4d3,4F,5/2,,515.95,,, 100                                     ,L9419
4d3,4F,7/2,,1176.56,,, 100                                     ,L9419
4d3,4F,9/2,,1939.03,,,  99         :     1  4d3           2G   ,L9419
4d3,4P,3/2,,8606.92,,,  74         :    22  4d3           2P   ,L9419
4d3,4P,1/2,,8664.68,,,  87         :    13  4d3           2P   ,L9419
4d3,4P,5/2,,9593.91,,,  99         :     1  4d3           2D2  ,L9419
4d3,2G,7/2,,9235.54,,,  99                                     ,L9419
4d3,2G,9/2,,9804.79,,,  90         :     9  4d3           2H   ,L9419
4d3,2P,1/2,,10685.08,,,  83         :    13  4d3           4P   ,L9419
4d3,2P,3/2,,10911.66,,,  50         :    24  4d3           4P   ,L9419
4d3,2H,9/2,,12915.99,,,  91         :     8  4d3           2G   ,L9419
4d3,2H,11/2,,13263.28,,, 100                                     ,L9419
4d3,2D2,3/2,,12968.67,,,  54         :    24  4d3           2P   ,L9419
4d3,2D2,5/2,,13093.73,,,  77         :    19  4d3           2D1  ,L9419
4d3,2F,7/2,,19860.39,,,  94         :     6  4d2.(3F).5s   2F   ,L9419
4d3,2F,5/2,,19974.51,,,  92         :     7  4d2.(3F).5s   2F   ,L9419
4d2.(3F).5s,4F,3/2,,25219.94,,,  99         :     1  4d2.(1D).5s   2D   ,L9419
4d2.(3F).5s,4F,5/2,,25735.01,,,  99                                     ,L9419
4d2.(3F).5s,4F,7/2,,26463.47,,, 100                                     ,L9419
4d2.(3F).5s,4F,9/2,,27373.20,,, 100                                     ,L9419
4d3,2D1,5/2,,31694.67,,,  75         :    20  4d3           2D2  ,L9419
4d3,2D1,3/2,,31973.24,,,  73         :    25  4d3           2D2  ,L9419
4d2.(3F).5s,2F,5/2,,33657.35,,,  84         :     7  4d3           2F   ,L9419
4d2.(3P).5s,4P,1/2,,34514.39,,, 100                                     ,L9419
4d2.(3P).5s,4P,3/2,,34807.20,,,  96         :     4  4d2.(1D).5s   2D   ,L9419
4d2.(3P).5s,4P,5/2,,34989.77,,,  79         :    15  4d2.(1D).5s   2D   ,L9419
4d2.(3F).5s,3F,7/2,,35079.15,,,  93         :     6  4d3           2F   ,L9419
4d2.(1D).5s,2D,3/2,,36535.33,,,  91         :     4  4d2.(3P).5s   4P   ,L9419
4d2.(1D).5s,2D,5/2,,37114.65,,,  75         :    19  4d2.(3P).5s   4P   ,L9419
4d2.(1G).5s,2G,9/2,,40874.65,,,  99         :     1  4d3           2G   ,L9419
4d2.(1G).5s,2G,7/2,,40942.97,,,  98         :     1  4d2.(3F).5s   2F   ,L9419
4d2.(3P).5s,2P,1/2,,43174.85,,,  95         :     4  4d3           2P   ,L9419
4d2.(3P).5s,2P,3/2,,43921.55,,,  94         :     4  4d3           2P   ,L9419
4d2.(1S).5s,2S,1/2,[,58500,],,  99                                     ,L9419
4d2.(3F).5p,4G*,5/2,,63686.35,,,  83         :    11  4d2.(3F).5p   2F*  ,L9419
4d2.(3F).5p,4G*,7/2,,65005.85,,,  92         :     5  4d2.(3F).5p   2F*  ,L9419
4d2.(3F).5p,4G*,9/2,,66455.05,,,  97         :     3  4d2.(3F).5p   4F*  ,L9419
4d2.(3F).5p,4G*,11/2,,68060.20,,, 100                                     ,L9419
4d2.(3F).5p,4F*,3/2,,65903.39,,,  72         :    21  4d2.(3F).5p   2D*  ,L9419
4d2.(3F).5p,4F*,5/2,,66597.95,,,  56         :    15  4d2.(3F).5p   2D*  ,L9419
4d2.(3F).5p,4F*,7/2,,67867.19,,,  94         :     2  4d2.(3F).5p   4G*  ,L9419
4d2.(3F).5p,4F*,9/2,,68786.35,,,  90         :     5  4d2.(3F).5p   2G*  ,L9419
4d2.(3F).5p,2F*,5/2,,67093.08,,,  38         :    35  4d2.(3F).5p   4F*  ,L9419
4d2.(3F).5p,2F*,7/2,,68382.22,,,  72         :    11  4d2.(3F).5p   4D*  ,L9419
4d2.(3F).5p,2D*,3/2,,67774.06,,,  49         :     2  4d2.(3F).5p   4F*  ,L9419
4d2.(3F).5p,2D*,5/2,,69109.42,,,  36         :    21  4d2.(3F).5p   4D*  ,L9419
4d2.(3F).5p,4D*,1/2,,69183.11,,,  85         :    12  4d2.(3P).5p   4D*  ,L9419
4d2.(3F).5p,4D*,3/2,,69673.13,,,  76         :    11  4d2.(3P).5p   4D*  ,L9419
4d2.(3F).5p,4D*,5/2,,70280.48,,,  61         :    17  4d2.(3F).5p   2D*  ,L9419
4d2.(3F).5p,4D*,7/2,,70587.73,,,  77         :     8  4d2.(3P).5p   4D*  ,L9419
4d.5s2,2D,3/2,,70337.08,,,  97         :     2  4d3           2D1  ,L9419
4d.5s2,2D,5/2,,71984.02,,,  97         :     2  4d3           2D1  ,L9419
4d2.(3P).5p,2S*,1/2,,71208.69,,,  94         :     3  4d2.(3P).5p   4P*  ,L9419
4d2.(3F).5p,2G*,7/2,,71551.79,,,  80         :    15  4d2.(1G).5p   2G*  ,L9419
4d2.(3F).5p,2G*,9/2,,72689.65,,,  75         :    17  4d2.(1G).5p   2G*  ,L9419
4d2.(1D).5p,2P*,3/2,,73646.49,,,  41         :    41  4d2.(3P).5p   4S*  ,L9419
4d2.(1D).5p,2P*,1/2,,75987.82,,,  88         :     5  4d2.(3P).5p   4P*  ,L9419
4d2.(3P).5p,4D*,1/2,,74726.75,,,  86         :    11  4d2.(3F).5p   4D*  ,L9419
4d2.(3P).5p,4D*,3/2,,75383.46,,,  63         :    14  4d2.(1D).5p   2P*  ,L9419
4d2.(3P).5p,4D*,5/2,,76386.95,,,  63         :    23  4d2.(1D).5p   2F*  ,L9419
4d2.(3P).5p,4D*,7/2,,77746.31,,,  62         :    16  4d2.(1D).5p   2F*  ,L9419
4d2.(3P).5p,4S*,3/2,,74906.72,,,  41         :    21  4d2.(3P).5p   4D*  ,L9419
4d2.(1D).5p,2F*,5/2,,75472.88,,,  48         :    14  4d2.(3F).5p   2F*  ,L9419
4d2.(1D).5p,2F*,7/2,,76558.77,,,  46         :    26  4d2.(3P).5p   4D*  ,L9419
4d2.(1D).5p,2D*,3/2,,76912.44,,,  49         :    27  4d2.(1D).5p   2P*  ,L9419
4d2.(1D).5p,2D*,5/2,,77247.07,,,  58         :    12  4d2.(3P).5p   4P*  ,L9419
4d2.(3P).5p,4P*,1/2,,78085.08,,,  91         :     4  4d2.(3P).5p   2S*  ,L9419
4d2.(3P).5p,4P*,3/2,,78372.15,,,  95         :     3  4d2.(1D).5p   2D*  ,L9419
4d2.(3P).5p,4P*,5/2,,79429.72,,,  84         :    14  4d2.(1D).5p   2D*  ,L9419
4d2.(1G).5p,2G*,9/2,,78840.35,,,  71         :    19  4d2.(3F).5p   2G*  ,L9419
4d2.(1G).5p,2G*,7/2,,78973.62,,,  61         :    16  4d2.(3F).5p   2G*  ,L9419
4d2.(1G).5p,2H*,9/2,,80908.07,,,  89         :    11  4d2.(1G).5p   2G*  ,L9419
4d2.(1G).5p,2H*,11/2,,82151.39,,, 100                                     ,L9419
4d2.(3P).5p,2D*,3/2,,82132.99,,,  58         :    22  4d2.(3P).5p   2P*  ,L9419
4d2.(3P).5p,2D*,5/2,,82405.35,,,  74         :    13  4d2.(3F).5p   2D*  ,L9419
4d2.(3P).5p,2P*,1/2,,83094.65,,,  91         :     4  4d2.(1S).5p   2P*  ,L9419
4d2.(3P).5p,2P*,3/2,,83719.21,,,  70         :    16  4d2.(3P).5p   2D*  ,L9419
4d2.(1G).5p,2F*,7/2,,84521.78,,,  91         :     4  4d2.(1D).5p   2F*  ,L9419
4d2.(1G).5p,2F*,5/2,,85437.75,,,  94         :     3  4d2.(1D).5p   2F*  ,L9419
4d2.(1S).5p,2P*,1/2,,97406.64,,,  89         :     5  4d2.(3P).5p   2P*  ,L9419
4d2.(1S).5p,2P*,3/2,,99046.43,,,  92         :     2  4d.5s.(3D).5p 2P*  ,L9419
4d.5s.(3D).5p,4F*,3/2,,101507.38,,,  86         :     8  4d.5s.(3D).5p 4D*  ,L9419
4d.5s.(3D).5p,4F*,5/2,,102303.15,,,  79         :    15  4d.5s.(3D).5p 4D*  ,L9419
4d.5s.(3D).5p,4F*,7/2,,103629.99,,,  78         :    21  4d.5s.(3D).5p 4D*  ,L9419
4d.5s.(3D).5p,4F*,9/2,,105444.62,,, 100                                     ,L9419
4d.5s.(3D).5p,4D*,1/2,,102167.10,,,  98         :     1  4d.5s.(3D).5p 2P*  ,L9419
4d.5s.(3D).5p,4D*,3/2,,102685.51,,,  88         :     9  4d.5s.(3D).5p 4F*  ,L9419
4d.5s.(3D).5p,4D*,5/2,,103515.72,,,  82         :    16  4d.5s.(3D).5p 4F*  ,L9419
4d.5s.(3D).5p,4D*,7/2,,104552.65,,,  77         :    21  4d.5s.(3D).5p 4F*  ,L9419
4d.5s.(1D).5p,2D*,5/2,,105454.55,,,  45         :    35  4d.5s.(3D).5p 2D*  ,L9419
4d.5s.(1D).5p,2D*,3/2,,105845.95,,,  51         :    37  4d.5s.(3D).5p 2D*  ,L9419
4d.5s.(3D).5p,4P*,1/2,,108071.33,,,  98                                     ,L9419
4d.5s.(3D).5p,4P*,3/2,,108102.75,,,  93         :     2  4d.5s.(1D).5p 2P*  ,L9419
4d.5s.(3D).5p,4P*,5/2,,108699.58,,,  87         :     7  4d.5s.(1D).5p 2D*  ,L9419
4d.5s.(1D).5p,2F*,5/2,,112693.15,,,  81         :    16  4d.5s.(3D).5p 2F*  ,L9419
4d.5s.(1D).5p,2F*,7/2,,113495.15,,,  75         :    24  4d.5s.(3D).5p 2F*  ,L9419
4d.5s.(1D).5p,2P*,3/2,,114273.83,,,  63         :    29  4d.5s.(3D).5p 2P*  ,L9419
4d.5s.(1D).5p,2P*,1/2,,115276.75,,,  59         :    36  4d.5s.(3D).5p 2P*  ,L9419
4d2.(3F).5d,4G,5/2,,116879.55,,,  69         :    27  4d2.(3F).5d   2F   ,L9419
4d2.(3F).5d,4G,7/2,,117783.75,,,  62         :    31  4d2.(3F).5d   4H   ,L9419
4d2.(3F).5d,4G,9/2,,118590.08,,,  59         :    38  4d2.(3F).5d   4H   ,L9419
4d2.(3F).5d,4G,11/2,,119445.85,,,  61         :    38  4d2.(3F).5d   4H   ,L9419
4d2.(3F).5d,4H,7/2,,117359.81,,,  62         :    34  4d2.(3F).5d   4G   ,L9419
4d2.(3F).5d,4H,9/2,,117988.10,,,  59         :    38  4d2.(3F).5d   4G   ,L9419
4d2.(3F).5d,4H,11/2,,118823.21,,,  61         :    37  4d2.(3F).5d   4G   ,L9419
4d2.(3F).5d,4H,13/2,,119960.99,,, 100                                     ,L9419
4d2.(3F).5d,4D,1/2,,117693.24,,,  83         :    13  4d2.(3F).5d   2P   ,L9419
4d2.(3F).5d,4D,3/2,,118177.45,,,  84         :     9  4d2.(3F).5d   4F   ,L9419
4d2.(3F).5d,4D,5/2,,118806.37,,,  84         :     9  4d2.(3F).5d   2F   ,L9419
4d2.(3F).5d,4D,7/2,,119727.53,,,  84         :     8  4d2.(3F).5d   2F   ,L9419
4d2.(3F).5d,2F,5/2,,117719.55,,,  56         :    28  4d2.(3F).5d   4G   ,L9419
4d2.(3F).5d,2F,7/2,,118438.38,,,  72         :    12  4d2.(3F).5d   4D   ,L9419
4d2.(3F).5d,4F,3/2,,118092.75,,,  89         :     8  4d2.(3F).5d   4D   ,L9419
4d2.(3F).5d,4F,3/2,,121594.34,,,  87         :     7  4d2.(3F).5d   2D   ,L9419
