Configuration,Term,J,Prefix,Level (cm-1),Suffix,Uncertainty (cm-1),Leading percentages,Reference
3p6.3d8,3F,4,,0.0,,0, 100                                                ,L7185
3p6.3d8,3F,3,,1360.7,,, 100                                                ,
3p6.3d8,3F,2,,2269.6,,,  99                                                ,
3p6.3d8,1D,2,,14031.6,,,  83             :    16  3d8              3P       ,
3p6.3d8,3P,2,,16661.6,,,  84             :    16  3d8              1D       ,
3p6.3d8,3P,1,,16977.8,,, 100                                                ,
3p6.3d8,3P,0,,17230.7,,, 100                                                ,
3p6.3d8,1G,4,,23108.7,,, 100                                                ,
3p6.3d8,1S,0,,52532.0,,, 100                                                ,
3p6.3d7.(4F).4s,5F,5,,53703.93,,,                                                    ,
3p6.3d7.(4F).4s,5F,4,,54657.83,,,                                                    ,
3p6.3d7.(4F).4s,5F,3,,55406.29,,,                                                    ,
3p6.3d7.(4F).4s,5F,2,,55952.21,,,                                                    ,
3p6.3d7.(4F).4s,5F,1,,56308.24,,,                                                    ,
3p6.3d7.(4F).4s,3F,4,,61338.58,,,                                                    ,
3p6.3d7.(4F).4s,3F,3,,62605.58,,,                                                    ,
3p6.3d7.(4F).4s,3F,2,,63471.93,,,                                                    ,
3p6.3d7.(4P).4s,5P,3,,71067.35,,,                                                    ,
3p6.3d7.(4P).4s,5P,2,,71384.10,,,                                                    ,
3p6.3d7.(4P).4s,5P,1,,71842.42,,,                                                    ,
3p6.3d7.(2G).4s,3G,5,,75123.65,,,                                                    ,
3p6.3d7.(2G).4s,3G,4,,75646.61,,,                                                    ,
3p6.3d7.(2G).4s,3G,3,,76237.25,,,                                                    ,
3p6.3d7.(4P).4s,3P,2,,78303.54,,,  47             :    53  3d7.(2P).4s      3P       ,
3p6.3d7.(4P).4s,3P,1,,78482.43,,,  52             :    35  3d7.(2P).4s      3P       ,
3p6.3d7.(4P).4s,3P,0,,78657.55,,,  48             :    46  3d7.(2P).4s      3P       ,
3p6.3d7.(2P).4s,3P,2,,79143.01,,,  47             :    53  3d7.(4P).4s      3P       ,
