Configuration,Term,J,"Level 
 (cm-1)","Uncertainty 
 (cm-1)",Leading percentages,,,,,,,Reference
,,,,,,,,,,,,
3p63d7,4F,9/2,0.0,0,100,,,,,,,L7185
,,7/2,1 189.7,,100,,,,,,,
,,5/2,2 042.5,,100,,,,,,,
,,3/2,2 621.1,,100,,,,,,,
,,,,,,,,,,,,
3p63d7,4P,5/2,18 118.6,,100,,,,,,,
,,3/2,18 366.8,,93,,,,7,3d7,2P,
,,1/2,18 958.4,,97,,,,3,3d7,2P,
,,,,,,,,,,,,
3p63d7,2G,9/2,19 829.6,,97,,,,2,3d7,2H,
,,7/2,20 947.6,,100,,,,,,,
,,,,,,,,,,,,
3p63d7,2P,3/2,23 648.9,,83,,,,8,3d7,2D2,
,,1/2,24 651.4,,97,,,,3,3d7,4P,
,,,,,,,,,,,,
3p63d7,2H,11/2,26 649.1,,100,,,,,,,
,,9/2,27 677.6,,98,,,,2,3d7,2G,
,,,,,,,,,,,,
3p63d7,2D2,5/2,27 096.5,,77,,,,23,3d7,2D1,
,,3/2,28 777.7,,72,,,,18,3d7,2D1,
,,,,,,,,,,,,
3p63d7,2F,5/2,43 437.5,,100,,,,,,,
,,7/2,43 858.6,,100,,,,,,,
,,,,,,,,,,,,
3p63d7,2D1,3/2,67 360.0,,80,,,,20,3d7,2D2,
,,5/2,67 989.8,,77,,,,23,3d7,2D2,
,,,,,,,,,,,,
3d6(5D)4s,6D,9/2,110 410.6,,100,,,,,,,
,,7/2,111 195.8,,100,,,,,,,
,,5/2,111 763.3,,100,,,,,,,
,,3/2,112 151.9,,100,,,,,,,
,,1/2,112 379.3,,100,,,,,,,
,,,,,,,,,,,,
3d6(5D)4s,4D,7/2,120 909.5,,100,,,,,,,
,,5/2,121 807.7,,100,,,,,,,
,,3/2,122 386.1,,100,,,,,,,
,,1/2,122 717.4,,99,,,,,,,
,,,,,,,,,,,,
3d6(3P2)4s,4P,5/2,138 446.2,,62,,,,37,3d6(3P1)4s,4P,
