Configuration,Term,J,Prefix,Level (cm-1),Suffix,Uncertainty (cm-1),Leading percentages,Reference
1s2,1S,0,,0.0,,8.1, 100                             ,L21139
1s.2s,3S,1,(,62359804.9,),7.4, 100                             ,L21139
1s.2p,3P*,0,(,62615880.7,),7.2, 100                             ,L21139
1s.2p,3P*,1,(,62634628.9,),6.8,  89         :    11  1s.2p 1P*  ,L21139
1s.2s,1S,0,(,62637016.8,),7.9, 100                             ,L21139
1s.2p,3P*,2,(,62801745.4,),7.2, 100                             ,L21139
1s.2p,1P*,1,(,62956448.7,),6.8,  89         :    11  1s.2p 3P*  ,L21139
1s.3s,3S,1,(,73903230,),150, 100                             ,L21139
1s.3p,3P*,0,(,73973852,),72, 100                             ,L21139
1s.3s,1S,0,(,73976470,),150, 100                             ,L21139
1s.3p,3P*,1,(,73979212,),72,  88         :    12  1s.3p 1P*  ,L21139
1s.3p,3P*,2,(,74029180,),74, 100                             ,L21139
1s.3d,3D,2,(,74066296,),76,  65         :    36  1s.3d 1D   ,L22382c208
1s.3d,3D,1,(,74067226,),76, 100                             ,L22382c208
1s.3p,1P*,1,(,74071052,),74,  88         :    12  1s.3p 3P*  ,L21139
1s.3d,3D,3,(,74084936,),76, 100                             ,L22382c208
1s.3d,1D,2,(,74087545,),76,  65         :    36  1s.3d 3D   ,L22382c208
1s.4s,3S,1,(,77901830,),140, 100                             ,L21139
1s.4p,3P*,0,(,77930862,),72, 100                             ,L21139
1s.4s,1S,0,(,77931500,),140, 100                             ,L21139
1s.4p,3P*,1,(,77933093,),72,  88         :    12  1s.4p 1P*  ,L21139
1s.4p,3P*,2,(,77954211,),74, 100                             ,L21139
1s.4d,3D,2,(,77969550,),77,  66         :    34  1s.4d 1D   ,L19700c211
1s.4d,3D,1,(,77969843,),77, 100                             ,L19700c211
1s.4p,1P*,1,(,77971326,),74,  88         :    12  1s.4p 3P*  ,L21139
1s.4d,3D,3,(,77977322,),77, 100                             ,L19700c211
1s.4f,3F*,3,(,77978299,),77,  57         :    43  1s.4f 1F*  ,L19700c211
1s.4d,1D,2,(,77978601,),77,  66         :    34  1s.4d 3D   ,L19700c211
1s.4f,3F*,2,(,77978642,),77, 100                             ,L19700c211
1s.4f,3F*,4,(,77982389,),77, 100                             ,L19700c211
1s.4f,1F*,3,(,77982656,),77,  57         :    43  1s.4f 3F*  ,L19700c211
1s.5s,3S,1,(,79741960,),140, 100                             ,L21139
1s.5p,3P*,0,(,79756635,),72, 100                             ,L21139
1s.5s,1S,0,(,79756850,),140, 100                             ,L21139
1s.5p,3P*,1,(,79757768,),72,  87         :    13  1s.5p 1P*  ,L21139
1s.5p,3P*,2,(,79768582,),72, 100                             ,L21139
1s.5d,3D,2,(,79776359,),73,  67         :    34  1s.5d 1D   ,L19700c211
1s.5d,3D,1,(,79776489,),73, 100                             ,L19700c211
1s.5p,1P*,1,(,79777215,),72,  87         :    13  1s.5p 3P*  ,L21139
1s.5d,3D,3,(,79780318,),73, 100                             ,L19700c211
1s.5f,3F*,3,(,79780863,),73,  57         :    43  1s.5f 1F*  ,L19700c211
1s.5d,1D,2,(,79781013,),73,  67         :    34  1s.5d 3D   ,L19700c211
1s.5f,3F*,2,(,79781036,),73, 100                             ,L19700c211
1s.5f,3F*,4,(,79782956,),73, 100                             ,L19700c211
1s.5g,3G,4,(,79782980,),73,  55         :    45  1s.5g 1G   ,L19700c211
1s.5g,3G,3,(,79783083,),73, 100                             ,L19700c211
1s.5f,1F*,3,(,79783095,),73,  57         :    43  1s.5f 3F*  ,L19700c211
1s.5g,3G,5,(,79784235,),73, 100                             ,L19700c211
1s.5g,1G,4,(,79784316,),73,  55         :    45  1s.5g 3G   ,L19700c211
1s.6s,3S,1,(,80737780,),140, 100                             ,L21139
1s.6p,3P*,0,(,80746216,),72, 100                             ,L21139
1s.6s,1S,0,(,80746310,),140, 100                             ,L21139
1s.6p,3P*,1,(,80746869,),72,  87                             ,L21139
1s.6p,3P*,2,(,80753126,),72, 100                             ,L21139
