Configuration,Term,J,Prefix,Level (cm-1),Suffix,Uncertainty (cm-1),Lande,Reference
5d6.(5D).6s,a 6D,9/2,,0.00,,0,1.52,L3466
5d6.(5D).6s,a 6D,7/2,,3593.15,,,1.57,
5d6.(5D).6s,a 6D,5/2,,3928.94,,,1.62,
5d6.(5D).6s,a 6D,3/2,,5592.05,,,1.79,
5d6.(5D).6s,a 6D,1/2,,6636.57,,,3.17,
,7891,5/2,,7891.93,,,1.70,
,1145,7/2,,11459.90,,,1.27,
,1165,5/2,,11654.08,,,1.55,
,1313,3/2,,13136.61,,,1.40,
,1320,7/2,,13203.88,,,1.25,
,1341,5/2,,13414.80,,,1.34,
,1560,9/2,,15605.58,,,1.14,
,1724,7/2,,17242.26,,,0.99,
,1742,3/2,,17424.39,,,0.97,
,1756,5/2,,17569.40,,,1.35,
,1768,11/2,,17688.64,,,1.20,
,1959,5/2,,19590.91,,,0.81,
,1998,7/2,,19985.93,,,1.10,
,2159,9/2,,21590.81,,,1.11,
,2446,5/2,,24465.66,,,1.27,
,2498,7/2,,24980.73,,,1.18,
,2545,5/2,,25452.13,,,1.09,
,3732*,5/2,,37321.53,,,2.22,
,3938*,7/2,,39389.49,,,1.85,
5d6.(5D).6p,z 6D*,7/2,,43802.36,,,1.56,
5d6.(5D).6p,z 6D*,9/2,,44315.40,,,1.44,
5d6.(5D).6p,z 6D*,3/2,,46157.19,,,1.74,
5d6.(5D).6p,z 6D*,5/2,,46373.51,,,1.61,
5d6.(5D).6p,z 6D*,1/2,,48128.08,,,2.96,
,4879*,5/2,,48798.70,,,1.39,
,4914*,7/2,,49149.39,,,1.51,
,5195*,9/2,,51951.61,,,1.40,
,5220*,7/2,,52206.48,,,1.42,
,5437*,7/2,,54379.27,,,1.34,
,5444*,5/2,,54445.19,,,1.45,
,5553*,5/2,,55538.65,,,1.09,
,5563*,3/2,,55635.92,,,0.70,
,5679*,7/2,,56791.35,,,1.28,
,5740*,7/2,,57402.59,,,1.29,
Os III (5d6 5D<4>),Limit,---,[,137000,],8000,,L16139
