Configuration,Term,J,Prefix,Level (cm-1),Suffix,Uncertainty (cm-1),Leading percentages,Reference
5d6,5D,4,,0.00,,0.10,  83                                :     8  5d6                 3F2  ,"L20381,L8672"
5d6,5D,3,,3849.26,,0.10,  63                                :    25  5d5.(6S).6s         7S   ,L20381
5d6,5D,2,,3993.38,,0.11,  66                                :    10  5d6 3P2             3P2  ,L20381
5d6,5D,1,,6154.41,,0.12,  80                                :     7  5d6 3P1             3P1  ,L20381
5d6,5D,0,,6316.98,,0.20,  75                                :    11  5d6 3P1             3P1  ,L20381
5d5.(6S).6s,7S,3,,4578.41,,0.10,  66                                :    26  5d6                 5D   ,L20381
5d6,12535,4,,12535.51,,0.09,  24  5d6 3G                        :    22  5d6                 3H   ,L20381
5d6,3P2,2,,15131.09,,0.10,  29                                :    27  5d6 5D              5D   ,L20381
5d6,3G,5,,15780.66,,0.10,  54                                :    42  5d6                 3H   ,L20381
5d6,3G,4,,22487.18,,0.11,  56                                :    14  5d6                 3F2  ,L20381
5d6,3H,6,,16720.70,,0.12,  85                                :    14  5d6                 1I   ,L20381
5d6,3H,4,,21444.35,,0.11,  56                                :    25  5d6                 3F2  ,L20381
5d6,3H,5,,23408.63,,0.10,  56                                :    38  5d6                 3G   ,L20381
5d6,17073,3,,17073.05,,0.09,  31  5d6 3G                        :    30  5d6                 3F2  ,L20381
5d6,3F2,2,,18322.35,,0.12,  71                                :    10  5d6 1D2             1D2  ,L20381
5d6,3D,1,,20060.69,,0.13,  65                                :    11  5d6 3P2             3P2  ,L20381
5d6,3D,2,,21136.37,,0.10,  35                                :    19  5d6 3P1             3P1  ,L20381
5d6,3D,3,,21745.01,,0.09,  46                                :    14  5d6                 3F2  ,L20381
5d5.(6S).6s,5S,2,,22948.90,,0.10,  65                                :    12  5d6 3D              3D   ,L20381
5d6,24097,3,,24097.17,,0.10,  44  5d6 3G                        :    35  5d6                 3F2  ,L20381
5d5.6s,25936,3,,25936.28,,0.09,  31  5d5.(4G).6s 5G                :    19  5d5.(4D).6s         5D   ,L20381
5d5.(4G).6s,5G,2,,26118.50,,0.10,  66                                :    15  5d5.(2F1).6s        3F   ,L20381
5d5.(4G).6s,5G,4,,27662.82,,0.10,  72                                :     8  5d5.(4D).6s         5D   ,L20381
5d5.(4G).6s,5G,6,,28637.57,,0.09,  63                                :    25  5d6                 1I   ,L20381
5d5.(4G).6s,5G,5,,28702.51,,0.09,  89                                :     5  5d5.(4F).6s         5F   ,L20381
5d6,1I,6,,27885.00,,0.10,  60                                :    25  5d5.(4G).6s         5G   ,L20381
5d5.6s,28512,3,,28512.63,,0.10,  33  5d5.(4G).6s 5G                :    21  5d5.(4P).6s         5P   ,L20381
5d5.6s,29237,2,,29237.90,,0.12,  39  5d5.(4D).6s 5D                :    34  5d5.(4P).6s         5P   ,L20381
5d6,1G2,4,,29793.58,,0.13,  49                                :    16  5d6                 3H   ,L20381
5d6,1F,3,,29817.03,,0.11,  47                                :    18  5d5.(4G).6s         5G   ,L20381
5d5.(4P).6s,5P,1,,30196.40,,0.13,  48                                :    36  5d5.(4D).6s         5D   ,L20381
5d5.(4D).6s,5D,4,,32857.75,,0.09,  66                                :    19  5d5.(4G).6s         5G   ,L20381
5d5.(4D).6s,5D,3,,35710.22,,0.10,  36                                :    18  5d5.(4P).6s         5P   ,L20381
5d5.6s,36473,2,,36473.90,,0.11,  42  5d5.(4P).6s 5P                :    26  5d5.(4D).6s         5D   ,L20381
5d6,3F1,4,,36856.04,,0.09,  46                                :    13  5d5.(2F1).6s        3F   ,L20381
5d5.(2I).6s,3I,5,,38705.98,,0.00,  46                                :    22  5d5.(4G).6s         3G   ,L20381
5d5.(2I).6s,3I,6,,40782.99,,0.08,  74                                :    15  5d5.(2H).6s         3H   ,L20381
5d5.(2I).6s,3I,7,,42871.88,,0.11, 100                                                                  ,L20381
5d5.(4G).6s,3G,3,,38847.26,,0.11,  37                                :    17  5d5.(4P).6s         5P   ,L20381
5d5.(4G).6s,3G,4,,40611.66,,0.08,  50                                :    14  5d6                 1G1  ,L20381
5d5.(4G).6s,3G,5,,43997.75,,0.09,  58                                :    28  5d5.(2I).6s         3I   ,L20381
,39842,2,,39842.60,,0.11,  12  5d5.(4P).6s 3P                :     9  5d5.(4D).6s         5D   ,L20381
,41049,3,,41049.90,,0.13,  27  5d6 3F1                       :    23  5d5.(4F).6s         5F   ,L20381
5d5.(4F).6s,5F,5,,41236.86,,0.08,  48                                :    24  5d5.(2G2).6s        3G   ,L20381
5d5.(4F).6s,5F,4,,43501.91,,0.10,  46                                :    12  5d6                 3F1  ,L20381
,44000,3,,44000.29,,0.11,  28  5d5.(4F).6s 5F                :    16  5d6                 3F1  ,L20381
5d5.(4D).6s,3D,3,,45223.77,,0.11,  45                                :    12  5d5.(2F1).6s        3F   ,L20381
5d5.6s,45225,2,,45225.11,,0.11,  27  5d5.(4D).6s 3D                :    20  5d5.(2D3).6s        3D   ,L20381
5d5.6s,47303,4,,47303.54,,0.10,  27  5d5.(2G2).6s 3G               :    24  5d5.(2H).6s         3H   ,L20381
5d5.(2I).6s,1I,6,,47785.16,,0.10,  66                                :    17  5d5.(2I).6s         3I   ,L20381
5d5.(2G2).6s,3G,5,,48302.11,,0.10,  25                                :    29  5d5.(2H).6s         3H   ,L20381
5d5.(2G2).6s,3G,3,,49019.74,,0.12,  46                                :    12  5d5.(4F).6s         5F   ,L20381
5d5.6s,50499,4,,50499.32,,0.11,  28  5d5.(2H).6s 3H                :    25  5d5.(2F2).6s        3F   ,L20381
