Configuration,Term,J,Prefix,Level (cm-1),Suffix,Uncertainty (cm-1),Lande,Leading percentages,Reference
4f3.(4I*<9/2>).6s<1/2>,"(9/2,1/2)*",4,,0.00,,0,0.604,  97         or  :    97   (4I*) 5I*  ,L3974
4f3.(4I*<9/2>).6s<1/2>,"(9/2,1/2)*",5,,441.95,,,0.875,  90         or  :    58   (4I*) 5I*  ,
4f3.(4I*<11/2>).6s<1/2>,"(11/2,1/2)*",6,,1649.01,,,1.064,  94         or  :    77   (4I*) 5I*  ,
4f3.(4I*<11/2>).6s<1/2>,"(11/2,1/2)*",5,,1743.72,,,0.860,  91         or  :    59   (4I*) 3I*  ,
4f3.(4I*<13/2>).6s<1/2>,"(13/2,1/2)*",7,,2998.36,,,1.177,  98         or  :    90   (4I*) 5I*  ,
4f3.(4I*<13/2>).6s<1/2>,"(13/2,1/2)*",6,,3403.21,,,1.037,  95         or  :    77   (4I*) 3I*  ,
4f3.(4I*).5d,5L*,6,,3893.46,,,0.726,  94             :     3   (2H*2) 3K* ,
4f3.(4I*).5d,5L*,7,,5108.40,,,0.908,  95             :     1   (2H*2) 3K* ,
4f3.(4I*).5d,5L*,8,,6417.83,,,1.05,  97             :     1   (4I*) 5K*  ,
4f3.(4I*).5d,5L*,9,,7805.61,,,1.12,  98             :     1   (4I*) 5K*  ,
4f3.(4I*).5d,5L*,10,,9255.14,,,1.20,  99             :     1   (2K*) 3M*  ,
4f3.(4I*).5d,5K*,5,,4097.60,,,0.686,  90             :     6   (4I*) 3I*  ,
4f3.(4I*).5d,5K*,6,,5226.52,,,0.911,  95             :     2   (4I*) 3I*  ,
4f3.(4I*).5d,5K*,7,,6413.93,,,1.05,  96             :     1   (4I*) 5L*  ,
4f3.(4I*).5d,5K*,8,,7659.76,,,1.15,  96             :     1   (4I*) 5L*  ,
4f3.(4I*).5d,5K*,9,,8958.49,,,1.220,  96             :     1   (4I*) 3L*  ,
4f3.(4I*<15/2>).6s<1/2>,"(15/2,1/2)*",8,,4437.15,,,1.250,  99         or  :    99   (4I*) 5I*  ,
4f3.(4I*<15/2>).6s<1/2>,"(15/2,1/2)*",7,,5079.35,,,1.143,  97         or  :    89   (4I*) 3I*  ,
4f2.(3H).5d2.(3F),5L,6,,5854.61,,,0.71,                                      ,
4f2.(3H).5d2.(3F)?,5I?,4,,7227.99,,,0.62,                                      ,
4f3.(4I*).5d,3I*,5,,7438.23,,,0.880,  59             :    11   (4I*) 5I*  ,
4f3.(4I*).5d,3I*,6,,8465.04,,,1.035,  47             :    19   (4I*) 5I*  ,
4f3.(4I*).5d,5I*,4,,7446.43,,,0.631,  89             :     8   (4I*) 3H*  ,
4f3.(4I*).5d,5I*,5,,8489.87,,,0.93,  83             :     8   (4I*) 3H*  ,
4f3.(4I*).5d,5I*,6,,9646.67,,,1.076,  78             :     8   (4I*) 3I*  ,
4f3.(4I*).5d,5I*,7,,11005.57,,,1.152,  49             :    28   (4I*) 3I*  ,
4f3.(4I*).5d,5I*,8,,11611.05,,,1.234,  87             :     9   (4I*) 3K*  ,
4f3.(4I*).5d,5H*,3,,7744.27,,,0.52,  73             :    12   (4I*) 3G*  ,
4f3.(4I*).5d,5H*,4,,8099.72,,,0.830,  40             :    35   (4I*) 3H*  ,
4f3.(4I*).5d,5H*,5,,9378.63,,,1.05,  55             :    13   (4I*) 3I*  ,
4f3.(4I*).5d,5H*,6,,10729.75,,,1.11,  50             :    23   (4I*) 3I*  ,
4f3.(4I*).5d,5H*,7,,12243.49,,,1.18,  41             :    24   (4I*) 3I*  ,
4f2.5d.6s?,5I,4,,7832.43,,,0.61,                                      ,
4f2.(3H).5d.6s.(3D)?,,5,,7888.50,,,0.79,                                      ,
4f2.(3H).5d.6s.(3D)?,5K?,6,,8140.67,,,0.95,                                      ,
4f2.5d.6s?,,5,,8197.80,,,0.78,                                      ,
4f2.(3H).5d.6s.(3D)?,5K?,5,,8379.44,,,0.66?,                                      ,
