Configuration,Term,J,"Level 
 (cm-1)","Uncertainty 
 (cm-1)",Landé-g,Leading percentages,,,,,,,Reference
,,,,,,,,,,,,,
3p63d4s,3D,1,0.00,0,0.501,,,,,,,,L7185
,,2,67.72,,1.163,,,,,,,,
,,3,177.76,,1.330,,,,,,,,
,,,,,,,,,,,,,
3p63d4s,1D,2,2 540.95,,0.998,,,,,,,,
,,,,,,,,,,,,,
3p63d2,3F,2,4 802.87,,0.665,,,,,,,,
,,3,4 883.57,,1.083,,,,,,,,
,,4,4 987.79,,,,,,,,,,
,,,,,,,,,,,,,
3p63d2,1D,2,10 944.56,,,,,,,,,,
,,,,,,,,,,,,,
3p64s2,1S,0,11 736.36,,,,,,,,,,
,,,,,,,,,,,,,
3p63d2,3P,0,12 074.10,,,,,,,,,,
,,1,12 101.50,,1.487,,,,,,,,
,,2,12 154.42,,1.481,,,,,,,,
,,,,,,,,,,,,,
3p63d2,1G,4,14 261.32,,,,,,,,,,
,,,,,,,,,,,,,
3p63d2,1S,0,25 955.2,,,,,,,,,,
,,,,,,,,,,,,,
3p63d4p,1D°,2,26 081.34,,0.999,99,,,,,,,
,,,,,,,,,,,,,
3p63d4p,3F°,2,27 443.71,,0.671,99,,,,,,,
,,3,27 602.45,,1.086,99,,,,,,,
,,4,27 841.35,,1.233,100,,,,,,,
,,,,,,,,,,,,,
3p63d4p,3D°,1,27 917.78,,0.506,100,,,,,,,
,,2,28 021.29,,1.162,99,,,,,,,
,,3,28 161.17,,1.323,99,,,,,,,
,,,,,,,,,,,,,
3p63d4p,3P°,0,29 736.27,,,94,,,,6,4s4p,3P°,
,,1,29 742.16,,1.484,92,,,,6,4s4p,3P°,
,,2,29 823.93,,1.495,94,,,,6,4s4p,3P°,
,,,,,,,,,,,,,
3p63d4p,1P°,1,30 815.70,,1.006,93,,,,5,4s4p,1P°,
,,,,,,,,,,,,,
3p63d4p,1F°,3,32 349.98,,,100,,,,,,,
,,,,,,,,,,,,,
3p64s4p,3P°,0,39 002.20,,,94,,,,6,3d4p,3P°,
,,1,39 115.04,,,94,,,,6,3d4p,3P°,
,,2,39 345.52,,,94,,,,6,3d4p,3P°,
,,,,,,,,,,,,,
3p64s4p,1P°,1,55 715.36,,,91,,,,5,3d4p,1P°,
,,,,,,,,,,,,,
3p63d5s,3D,1,57 551.88,,,,,,,,,,
,,2,57 614.40,,,,,,,,,,
,,3,57 743.92,,,,,,,,,,
,,,,,,,,,,,,,
3p63d5s,1D,2,58 252.09,,,,,,,,,,
,,,,,,,,,,,,,
3p63d4d,1F,3,59 528.42,,,,,,,,,,
,,,,,,,,,,,,,
3p63d4d,3D,1,59 875.08,,,,,,,,,,
,,2,59 929.46,,,,,,,,,,
,,3,60 001.91,,,,,,,,,,
,,,,,,,,,,,,,
3p63d4d,3G,3,60 267.16,,,,,,,,,,
,,4,60 348.46,,,,,,,,,,
,,5,60 457.12,,,,,,,,,,
,,,,,,,,,,,,,
3p63d4d,1P,1,60 400.41,,,,,,,,,,
,,,,,,,,,,,,,
3p63d4d,3S,1,61 071.43,,,,,,,,,,
,,,,,,,,,,,,,
3p63d4d,3F,2,63 374.63,,,,,,,,,,
,,3,63 445.16,,,,,,,,,,
,,4,63 528.54,,,,,,,,,,
,,,,,,,,,,,,,
3p63d4d,1D,2,64 366.68,,,,,,,,,,
,,,,,,,,,,,,,
3p63d4d,3P,0,64 615.77,,,,,,,,,,
,,1,64 646.70,,,,,,,,,,
,,2,64 705.89,,,,,,,,,,
,,,,,,,,,,,,,
3p63d4d,1G,4,65 236.04,,,,,,,,,,
,,,,,,,,,,,,,
3p63d5p,1D°,2,66 048.39,,,94,,,,3,3d5p,3F°,
,,,,,,,,,,,,,
3p63d5p,3D°,1,66 389.74,,,100,,,,,,,
,,2,66 492.66,,,60,,,,35,3d5p,3F°,
,,3,66 583.86,,,78,,,,22,3d5p,3F°,
,,,,,,,,,,,,,
3p63d5p,3F°,2,66 459.64,,,62,,,,37,3d5p,3D°,
,,3,66 563.73,,,78,,,,22,3d5p,3D°,
,,4,66 718.99,,,100,,,,,,,
,,,,,,,,,,,,,
3p63d4d,1S,0,67 216.56,,,,,,,,,,
,,,,,,,,,,,,,
3p63d5p,3P°,0,67 236.7,,,100,,,,,,,
,,1,67 297.68,,,99,,,,,,,
,,2,67 396.19,,,100,,,,,,,
,,,,,,,,,,,,,
3p63d5p,1F°,3,67 743.72,,,100,,,,,,,
,,,,,,,,,,,,,
3p63d5p,1P°,1,68 498.06,,,95,,,,4,4s4p,1P°,
,,,,,,,,,,,,,
3p64p2,1D,2,74 433.3,,,,,,,,,,
,,,,,,,,,,,,,
3p63d4f,1G°,4,75 221.47,,,71,,,,15,3d4f,3G°,
,,,,,,,,,,,,,
3p63d4f,3F°,2,75 308.13,,,89,,,,8,3d4f,1D°,
,,3,75 373.10,,,43,,,,28,3d4f,3G°,
,,4,75 470.24,,,65,,,,22,3d4f,3G°,
,,,,,,,,,,,,,
3p63d4f,3G°,3,75 308.70,,,58,,,,40,3d4f,3F°,
,,4,75 390.49,,,43,,,,20,3d4f,3F°,
,,5,75 471.25,,,79,,,,18,3d4f,3H°,
,,,,,,,,,,,,,
3p63d4f,1F°,3,75 552.46,,,65,,,,15,3d4f,3F°,
,,,,,,,,,,,,,
