Configuration,Term,J,Prefix,Level (cm-1),Suffix,Uncertainty (cm-1),Lande,Reference
5d3.(4F).6s,a 5F,1,,0.00,,0,0.000,L3466
5d3.(4F).6s,a 5F,2,,1031.33,,,1.008,L3466
5d3.(4F).6s,a 5F,3,,2642.19,,,1.250,L3466
5d3.(4F).6s,a 5F,4,,4415.70,,,1.350,L3466
5d3.(4F).6s,a 5F,5,,6186.72,,,1.33,L3466
5d2.6s2,a 3F,2,,3180.04,,,0.750,L3466
5d2.6s2,a 3F,3,,6831.35,,,1.098,L3466
5d2.6s2,a 3F,4,,9746.33,,,1.225,L3466
5d2.6s2,a 3P,0,,4124.77,,,0.000,L3466
5d2.6s2,a 3P,1,,5330.66,,,1.550,L3466
5d2.6s2,a 3P,2,,5658.00,,,1.340,L3466
5d3.(4F).6s,b 3F,2,,9690.46,,,1.063,L3466
5d3.(4F).6s,b 3F,3,,14581.00,,,1.004,L3466
5d3.(4F).6s,b 3F,4,,18493.67,,,1.23,L3466
5d3.(4P).6s,a 5P,1,,10713.30,,,2.374,L3466
5d3.(4P).6s,a 5P,2,,11875.46,,,1.48,L3466
5d3.(4P).6s,a 5P,3,,12435.85,,,1.614,L3466
5d3.(2G).6s,a 3G,3,,11767.14,,,0.915,L3466
5d3.(2G).6s,a 3G,4,,12705.32,,,1.021,L3466
5d3.(2G).6s,a 3G,5,,12830.94,,,1.280,L3466
5d4,a 5D,0,,12600.87,,,0.000,L3466
5d4,a 5D,1,,13475.40,,,1.510,L3466
5d4,a 5D,2,,14494.90,,,1.472,L3466
5d4,a 5D,3,,15726.06,,,1.476,L3466
5d4,a 5D,4,,17231.22,,,1.23,L3466
5d2.6s2,a 1D,2,,13560.25,,,1.111,L3466
5d2.6s2,a 1G,4,,14205.53,,,,L3466
5d3.(2D2).6s,a 3D,1,,14627.75,,,0.850,L3466
5d3.(2D2).6s,a 3D,2,,17168.50,,,1.211,L3466
5d3.(2D2).6s,a 3D,3,,18553.83,,,1.33,L3466
5d3.(2H).6s,a 3H,5,,,,,,L3466
5d3.(2H).6s,a 3H,6,,,,,,L3466
5d3.(2H).6s,a 3H,4,,15851.12,,,1.16,L3466
5d3.(4P).6s,b 3P,0,,,,,,L3466
5d3.(4P).6s,b 3P,1,,17375.11,,,1.171,L3466
5d3.(4P).6s,b 3P,2,,18500.60,,,1.462,L3466
5d3.(2F).6s,c 3F,2,,22928.62,,,0.700,L3466
5d3.(2F).6s,c 3F,4,,23082.70,,,1.026,L3466
5d3.(2F).6s,c 3F,3,,23620.36,,,1.076,L3466
5d3.(2D2).6s,b 1D,2,,23294.70,,,1.120,L3466
5d3.(2P).6s,c 3P,2,,,,,,L3466
5d3.(2P).6s,c 3P,1,,,,,,L3466
5d3.(2P).6s,c 3P,0,,23381.19,,,0.000,L3466
5d3.(2P).6s,a 1P,1,,23406.14,,,1.15,L3466
5d4,b 3H,6,,,,,,L3466
5d4,b 3H,4,,24432.78,,,0.978,L3466
5d4,b 3H,5,,25413.95,,,1.052,L3466
5d3.(2F).6s,a 1F,3,,24869.61,,,0.995,L3466
5d4,b 3G,4,,,,,,L3466
5d4,b 3G,5,,,,,,L3466
5d4,b 3G,3,,26829.09,,,0.855,L3466
,292*,2,,29256.87,,,0.522,L3466
,337*,1,,33706.50,,,0.291,L3466
,337*,2,,33715.15,,,0.800,L3466
,361*,3,,36112.97,,,,L3466
,361*,2,,36177.12,,,0.947,L3466
,367*,3,,36763.73,,,1.169,L3466
,369*,1,,36987.73,,,0.685,L3466
,5G*,2,,37230.80,,,0.64,L3466
,5G*,3,,38962.38,,,1.001,L3466
,5G*,4,,39743.64,,,1.222,L3466
,5F*,2,,38515.55,,,1.026,L3466
,5F*,1,,38535.26,,,0.472,L3466
,5F*,3,,39295.83,,,1.140,L3466
,5F*,4,,42122.91,,,1.265,L3466
,5F*,5,,44585.33,,,1.245,L3466
,400*,0,,40023.76,,,,L3466
,402*,2,,40233.53,,,1.158,L3466
,403*,1,,40304.78,,,1.232,L3466
,411*,2,,41145.00,,,1.161,L3466
,413*,1,,41355.06,,,1.893,L3466
,415*,3,,41554.52,,,1.204,L3466
,417*,5,,41709.02,,,,L3466
,417*,4,,41775.29,,,0.72,L3466
,421*,2,,42153.32,,,1.210,L3466
,429*,3,,42959.59,,,1.117,L3466
,430*,2,,43064.95,,,1.061,L3466
,435*,3,,43544.44,,,1.086,L3466
,435*,1,,43553.87,,,1.50,L3466
,440*,4,,44005.16,,,,L3466
,442*,1,,44206.19,,,0.255,L3466
,442*,2,,44259.20,,,1.251,L3466
,444*,3,,44430.38,,,0.950,L3466
,5D*,0,,44434.70,,,0.00,L3466
,5D*,1,,45233.85,,,1.461,L3466
,5D*,2,,46387.28,,,1.31,L3466
,446*,4,,44626.00,,,1.264,L3466
,448*,3,,44835.23,,,1.34,L3466
,454*,2,,45446.91,,,1.150,L3466
,461*,1,,46174.63,,,1.361,L3466
,462*,4,,46286.97,,,1.405,L3466
,462*,5,,46295.07,,,,L3466
,466*,4,,46645.81,,,1.210,L3466
,468*,3,,46831.39,,,1.204,L3466
,468*,2,,46850.69,,,1.097,L3466
,471*,3,,47169.18,,,1.093,L3466
,472*,4,,47280.92,,,1.198,L3466
,475*,2,,47514.61,,,1.292,L3466
,475*,1,,47596.02,,,,L3466
,478*,0,,47800.95,,,,L3466
,478*,3,,47825.41,,,1.198,L3466
,478*,6,,47829.75,,,1.300,L2960
,480*,0,,48064.50,,,,L3466
,481*,2,,48166.44,,,,L3466
,482*,2,,48223.11,,,1.448,L3466
,484*,4,,48470.35,,,1.268,L3466
,486*,2,,48666.55,,,1.137,L3466
,487*,1,,48776.36,,,0.750,L3466
,489*,3,,48962.66,,,1.275,L3466
,490*,5,,49055.18,,,1.212,L2960
,490*,2,,49080.44,,,1.33,L3466
,495*,3,,49536.28,,,1.318,L3466
,495*,2,,49592.90,,,1.63,L3466
,496*,3,,49646.60,,,1.045,L3466
,498*,1,,49887.03,,,2.023,L3466
,499*,4,,49937.82,,,,L3466
,510*,3,,51073.88,,,1.156,L3466
,511*,2,,51197.32,,,1.363,L3466
,513*,1,,51326.37,,,1.052,L3466
,515*,2,,51534.21,,,1.317,L3466
,521*,3,,52121.22,,,1.088,L3466
,521*,1,,52155.76,,,1.618,L3466
,525*,3,,52580.41,,,1.403,L3466
,528*,1,,52824.53,,,0.930,L3466
,534*,3,,53465.72,,,1.226,L3466
,536*,2,,53644.82,,,1.339,L3466
,545*,2,,54533.78,,,1.035,L3466
,546*,3,,54648.81,,,0.935,L3466
,551*,3,,55128.36,,,1.250,L3466
,555*,3,,55543.11,,,1.46,L3466
,560*,2,,56018.75,,,0.991,L3466
,561*,4,,56142.49,,,1.26,L3466
,567*,4,,56752.94,,,1.22,L3466
Ta III (5d3 4F<3/2>),Limit,---,[,131000,],4000,,L16139
