Configuration,Term,J,"Level 
 (cm-1)","Uncertainty 
 (cm-1)",Landé-g,Leading percentages,,,,,,,Reference
,,,,,,,,,,,,,
3d2(3F)4s,a 4F,3/2,0.0000,0.0006,,100,,,,,,,L17885
,,5/2,94.1142,0.0012,,100,,,,,,,L17885
,,7/2,225.7039,0.0006,,100,,,,,,,L17885
,,9/2,393.4459,0.0007,,100,,,,,,,L17885
,,,,,,,,,,,,,
3d3,b 4F,3/2,907.9672,0.0008,,100,,,,,,,L17885
,,5/2,983.9157,0.0006,,100,,,,,,,L17885
,,7/2,1 087.3561,0.0006,,100,,,,,,,L17885
,,9/2,1 215.8329,0.0007,,100,,,,,,,L17885
,,,,,,,,,,,,,
3d2(3F)4s,a 2F,5/2,4 628.6571,0.0017,,99,,,,,,,L17885
,,7/2,4 897.7179,0.0006,,99,,,,,,,L17885
,,,,,,,,,,,,,
3d2(1D)4s,a 2D,3/2,8 710.5675,0.0007,0.80,72,,,,17,3d3,b 2D2,L17885
,,5/2,8 744.3406,0.0007,,74,,,,16,3d3,b 2D2,L17885
,,,,,,,,,,,,,
3d3,a 2G,7/2,8 997.7874,0.0009,,96,,,,,,,L17885
,,9/2,9 118.2849,0.0011,,96,,,,,,,L17885
,,,,,,,,,,,,,
3d3,a 4P,1/2,9 363.7425,0.0012,2.63,96,,,,,,,L17885
,,3/2,9 395.8020,0.0016,1.74,93,,,,,,,L17885
,,5/2,9 518.1516,0.0011,,100,,,,,,,L17885
,,,,,,,,,,,,,
3d3,a 2P,1/2,9 851.0145,0.0010,0.66,62,,,,24,3d2(3P)4s,b 2P,L17885
,,3/2,9 975.9994,0.0007,1.33,48,,,,27,3d2(3P)4s,b 4P,L17885
,,,,,,,,,,,,,
3d2(3P)4s,b 4P,1/2,9 872.899,0.003,2.60,90,,,,,,,L17885
,,3/2,9 930.7766,0.0007,,72,,,,18,3d3,a 2P,L17885
,,5/2,10 024.8009,0.0007,,99,,,,,,,L17885
,,,,,,,,,,,,,
3d3,b 2D2,3/2,12 628.8455,0.0009,,53,,,,26,3d2(1D)4s,a 2D,L17885
,,5/2,12 758.2597,0.0007,,54,,,,24,3d2(1D)4s,a 2D,L17885
,,,,,,,,,,,,,
3d3,a 2H,9/2,12 677.1050,0.0012,,100,,,,,,,L17885
,,11/2,12 774.8168,0.0013,,100,,,,,,,L17885
,,,,,,,,,,,,,
3d2(1G)4s,b 2G,9/2,15 257.5527,0.0009,,96,,,,,,,L17885
,,7/2,15 265.7001,0.0010,,96,,,,,,,L17885
,,,,,,,,,,,,,
3d2(3P)4s,b 2P,1/2,16 515.9359,0.0014,0.66,72,,,,28,3d3,a 2P,L17885
,,3/2,16 625.2441,0.0009,1.33,72,,,,28,3d3,a 2P,L17885
,,,,,,,,,,,,,
3d3,b 2F,7/2,20 891.7898,0.0011,,99,,,,,,,L17885
,,5/2,20 951.7551,0.0014,,99,,,,,,,L17885
,,,,,,,,,,,,,
3d4s2,c 2D,3/2,24 961.1910,0.0009,,73,,,,14,3d3,d 2D1,L17885
,,5/2,25 192.9650,0.0013,,71,,,,15,3d3,d 2D1,L17885
,,,,,,,,,,,,,
3d2(3F)4p,z 4G°,5/2,29 544.4540,0.0006,,98,,,,,,,L17885
,,7/2,29 734.6206,0.0007,,99,,,,,,,L17885
,,9/2,29 968.3304,0.0007,,100,,,,,,,L17885
,,11/2,30 240.9396,0.0009,,100,,,,,,,L17885
,,,,,,,,,,,,,
3d2(3F)4p,z 4F°,3/2,30 836.4250,0.0007,,97,,,,,,,L17885
,,5/2,30 958.5846,0.0006,,98,,,,,,,L17885
,,7/2,31 113.6764,0.0006,,98,,,,,,,L17885
,,9/2,31 301.0653,0.0007,,99,,,,,,,L17885
,,,,,,,,,,,,,
3d2(3F)4p,z 2F°,5/2,31 207.5111,0.0007,,85,,,,,,,L17885
,,7/2,31 490.9177,0.0006,,88,,,,,,,L17885
,,,,,,,,,,,,,
3d2(3F)4p,z 2D°,3/2,31 756.6406,0.0009,0.92,82,,,,,,,L17885
,,5/2,32 025.5915,0.0007,1.20,77,,,,,,,L17885
,,,,,,,,,,,,,
3d2(1S)4s,a 2S,1/2,31 787.934,0.003,,100,,,,,,,L17885
,,,,,,,,,,,,,
3d3,d 2D1,3/2,32 275.4863,0.0016,,58,,,,25,3d4s2,c 2D,L17885
,,5/2,32 332.9031,0.0010,,57,,,,27,3d4s2,c 2D,L17885
,,,,,,,,,,,,,
3d2(3F)4p,z 4D°,1/2,32 532.3542,0.0008,0.00,97,,,,,,,L17885
,,3/2,32 602.6265,0.0006,1.20,94,,,,,,,L17885
,,5/2,32 698.1022,0.0006,1.37,90,,,,,,,L17885
,,7/2,32 767.1961,0.0010,,96,,,,,,,L17885
,,,,,,,,,,,,,
3d2(3F)4p,z 2G°,7/2,34 543.3799,0.0008,,95,,,,,,,L17885
,,9/2,34 748.5062,0.0008,,95,,,,,,,L17885
,,,,,,,,,,,,,
3d2(3P)4p,z 2S°,1/2,37 430.6814,0.0007,2.09,99,,,,,,,L17885
,,,,,,,,,,,,,
3d2(1D)4p,z 2P°,3/2,39 233.4153,0.0007,,58,,,,36,3d2(1D)4p,y 2D°,L17885
,,1/2,39 674.7616,0.0009,,98,,,,,,,L17885
,,,,,,,,,,,,,
3d2(1D)4p,y 2D°,5/2,39 476.9244,0.0007,,55,,,,25,3d2(1D)4p,y 2F°,L17885
,,3/2,39 602.8645,0.0007,1.21,48,,,,36,3d2(1D)4p,z 2P°,L17885
,,,,,,,,,,,,,
3d2(1D)4p,y 2F°,5/2,39 926.8192,0.0008,,63,,,,25,3d2(1D)4p,y 2D°,L17885
,,7/2,40 074.6707,0.0007,,85,,,,,,,L17885
,,,,,,,,,,,,,
3d2(3P)4p,z 4S°,3/2,40 027.2001,0.0008,,95,,,,,,,L17885
,,,,,,,,,,,,,
3d2(3P)4p,y 4D°,1/2,40 330.3168,0.0011,,97,,,,,,,L17885
,,3/2,40 425.7183,0.0011,,96,,,,,,,L17885
,,5/2,40 581.6301,0.0007,,96,,,,,,,L17885
,,7/2,40 798.4333,0.0009,,93,,,,,,,L17885
,,,,,,,,,,,,,
3d2(3P)4p,z 4P°,1/2,41 996.7498,0.0012,,97,,,,,,,L17885
,,3/2,42 068.8481,0.0018,,97,,,,,,,L17885
,,5/2,42 208.8232,0.0010,,97,,,,,,,L17885
,,,,,,,,,,,,,
3d2(1G)4p,y 2G°,7/2,43 740.7678,0.0017,,95,,,,,,,L17885
,,9/2,43 780.9533,0.0008,,95,,,,,,,L17885
,,,,,,,,,,,,,
3d2(3P)4p,x 2D°,5/2,44 902.4455,0.0008,,82,,,,,,,L17885
,,3/2,44 914.8733,0.0009,,80,,,,,,,L17885
,,,,,,,,,,,,,
3d2(3P)4p,y 2P°,1/2,45 472.4518,0.0009,,95,,,,,,,L17885
,,3/2,45 548.9273,0.0009,,94,,,,,,,L17885
,,,,,,,,,,,,,
3d2(1G)4p,z 2H°,9/2,45 673.7641,0.0014,,99,,,,,,,L17885
,,11/2,45 908.6592,0.0011,,100,,,,,,,L17885
,,,,,,,,,,,,,
3d2(1G)4p,x 2F°,7/2,47 466.7479,0.0009,,91,,,,,,,L17885
,,5/2,47 625.0485,0.0011,,92,,,,,,,L17885
,,,,,,,,,,,,,
3d(2D)4s4p(3P°),4F°,3/2,52 329.889,0.003,,95,,,,,,,L17885
,,5/2,52 471.895,0.002,,93,,,,,,,L17885
,,7/2,52 705.2416,0.0016,,94,,,,,,,L17885
,,9/2,53 096.556,0.003,,99,,,,,,,L17885
,,,,,,,,,,,,,
3d(2D)4s4p(3P°),4D°,1/2,52 339.242,0.003,,97,,,,,,,L17885
,,3/2,52 459.395,0.003,,94,,,,,,,L17885
,,5/2,52 630.881,0.002,,91,,,,,,,L17885
,,7/2,52 847.1337,0.0016,,92,,,,,,,L17885
,,,,,,,,,,,,,
