Configuration,Term,J,"Level 
 (cm-1)","Uncertainty 
 (cm-1)",Landé-g,Leading percentages,,,,,,,Reference
,,,,,,,,,,,,,
3d4,a 5D,0,0.000,0.003,,100,,,,,,,L20009
,,1,36.1017,0.0012,,100,,,,,,,L20009
,,2,106.6421,0.0010,,100,,,,,,,L20009
,,3,208.7901,0.0008,,100,,,,,,,L20009
,,4,339.1256,0.0013,,100,,,,,,,L20009
,,,,,,,,,,,,,
3d3(4F)4s,a 5F,1,2 605.0400,0.0012,,100,,,,,,,L20009
,,2,2 687.2090,0.0009,0.97,100,,,,,,,"L20009,L8201"
,,3,2 808.9590,0.0008,1.20,100,,,,,,,"L20009,L8201"
,,4,2 968.3883,0.0010,1.30?,100,,,,,,,"L20009,L8201"
,,5,3 162.9673,0.0023,1.28?,100,,,,,,,"L20009,L8201"
,,,,,,,,,,,,,
3d3(4F)4s,a 3F,2,8 640.3641,0.0010,0.65,93,,,,5,3d4,3F2,"L20009,L8201"
,,3,8 842.0507,0.0006,1.04,93,,,,5,3d4,3F2,"L20009,L8201"
,,4,9 097.8891,0.0008,1.22,92,,,,6,3d4,3F2,"L20009,L8201"
,,,,,,,,,,,,,
3d4,a 3P2,0,11 295.511,0.003,,54,,,,37,3d4,3P1,L20009
,,1,11 514.7845,0.0014,1.48,54,,,,37,3d4,3P1,"L20009,L8201"
,,2,11 908.2593,0.0014,1.49,54,,,,37,3d4,3P1,"L20009,L8201"
,,,,,,,,,,,,,
3d4,a 3H,4,12 545.1024,0.0012,0.83?,98,,,,,,,"L20009,L8201"
,,5,12 621.4857,0.0013,1.02,98,,,,,,,"L20009,L8201"
,,6,12 706.0798,0.0011,1.27?,99,,,,,,,"L20009,L8201"
,,,,,,,,,,,,,
3d4,b 3F2,2,13 490.8843,0.0011,0.59,68,,,,24,3d4,3F1,"L20009,L8201"
,,3,13 542.6461,0.0013,1.06,68,,,,23,3d4,3F1,"L20009,L8201"
,,4,13 608.9393,0.0009,1.19,67,,,,23,3d4,3F1,"L20009,L8201"
,,,,,,,,,,,,,
3d3(4P)4s,a 5P,1,13 511.7993,0.0019,2.39,100,,,,,,,"L20009,L8201"
,,2,13 594.726,0.003,1.78,99,,,,,,,"L20009,L8201"
