Configuration,Term,J,Prefix,Level (cm-1),Suffix,Uncertainty (cm-1),Leading percentages,Reference
4d2,3F,2,,0.00,,0,  99         :     1  4d2             1D       ,L9267
4d2,3F,3,,681.59,,, 100                                           ,
4d2,3F,4,,1486.45,,, 100                                           ,
4d2,1D,2,,5743.39,,,  88         :     7  4d.5s           1D       ,
4d2,3P,0,,8063.63,,,  99                                           ,
4d2,3P,1,,8327.12,,, 100                                           ,
4d2,3P,2,,8839.97,,,  96         :     3  4d2             1D       ,
4d2,1G,4,,11050.57,,, 100                                           ,
4d.5s,3D,1,,18401.17,,, 100                                           ,
4d.5s,3D,2,,18805.30,,,  99         :     1  4d.5s           1D       ,
4d.5s,3D,3,,19535.87,,, 100                                           ,
4d2,1S,0,,23978.86,,,  95         :     4  5s2             1S       ,
4d.5s,1D,2,,25068.35,,,  91         :     8  4d2             1D       ,
5s2,1S,0,,48506.59,,,  92         :     4  5p2             1S       ,
4d.5p,1D*,2,,53648.88,,,  66         :    32  4d.5p           3F*      ,
4d.5p,3F*,2,,55557.60,,,  64         :    32  4d.5p           1D*      ,
4d.5p,3F*,3,,56077.32,,,  92         :     7  4d.5p           3D*      ,
4d.5p,3F*,4,,57684.12,,, 100                                           ,
4d.5p,3D*,1,,55615.87,,,  95         :     3  4d.5p           1P*      ,
4d.5p,3D*,2,,56437.77,,,  95         :     4  4d.5p           3F*      ,
4d.5p,3D*,3,,57348.86,,,  91         :     7  4d.5p           3F*      ,
4d.5p,3P*,1,,59699.47,,,  81         :    14  4d.5p           1P*      ,
4d.5p,3P*,0,,59947.63,,,  98         :     1  5s.5p           3P*      ,
4d.5p,3P*,2,,60358.40,,,  95         :     2  4d.5p           1D*      ,
4d.5p,1P*,1,,62117.41,,,  76         :    16  4d.5p           3P*      ,
4d.5p,1F*,3,,62590.70,,,  97         :     2  4d.5p           3D*      ,
5s.5p,3P*,0,,79439.92,,,  98         :     1  4d.5p           3P*      ,
5s.5p,3P*,1,,80106.91,,,  98         :     1  4d.5p           3P*      ,
5s.5p,3P*,2,,81557.85,,,  99         :     1  4d.5p           3P*      ,
5s.5p,1P*,1,,98763.19,,,  90         :     5  4d.5p           1P*      ,
4d.5d,1F,3,,103585.01,,,  81         :    10  4d.5d           3D       ,
4d.5d,3D,1,,103725.49,,,  71         :    21  4d.6s           3D       ,
4d.5d,3D,2,,104110.90,,,  72         :    24  4d.6s           3D       ,
4d.5d,3D,3,,104882.90,,,  38         :    35  4d.5d           3G       ,
4d.5d,3G,3,,104636.99,,,  58         :    35  4d.5d           3D       ,
4d.5d,3G,4,,105193.10,,,  98         :     1  4d.5d           1G       ,
4d.5d,3G,5,,105969.50,,,                                               ,
4d.(2D<3/2>).6s,2[3/2],1,,105012.34,,,  67     or  :    67  4d.6s           3D       ,
4d.(2D<3/2>).6s,2[3/2],2,,105325.82,,,  72     or  :    54  4d.6s           3D       ,
4d.5d,1P,1,,105554.66,,,  61         :    20  4d.5d           3D       ,
4d.(2D<5/2>).6s,2[5/2],3,,106306.35,,,  83     or  :    83  4d.6s           3D       ,
4d.(2D<5/2>).6s,2[5/2],2,,106504.46,,,  84     or  :    65  4d.6s           1D       ,
4d.5d,3S,1,,106986.38,,,  90         :     8  4d.5d           1P       ,
4d.5d,3F,2,,107257.20,,,  93         :     4  4d.6s           1D       ,
4d.5d,3F,3,,107824.00,,,  97         :     1  4d.5d           3D       ,
4d.5d,3F,4,,108319.29,,,  98         :     1  4d.5d           1G       ,
4d.5d,3P,0,,109211.69,,,  92         :     4  5p2             3P       ,
4d.5d,3P,1,,109602.63,,,  93         :     4  5p2             3P       ,
4d.5d,3P,2,,110138.94,,,  73         :    22  4d.5d           1D       ,
4d.5d,1D,2,,109272.70,,,  64         :    22  4d.5d           3P       ,
